description,language
M,Portuguese
"MAKASI KA MATUMWANGA KO, LEMBERELWA",Portuguese
MALEMBEKELWANGWA.,Portuguese
"Não se incita a cólera, deve, pelo contrário, ser acalmada.",Portuguese
"«Não se deve deitar o óleo no fogo para abrandá-lo ou, ainda menos, para apagá-lo».",Portuguese
"On n'incite pas la colêre, on doit, au contraire. I'apaiser.",Portuguese
"«Il ne faut jamais jeter de l'huile sur le feu pour I'apaiser ou, encore moins, pour",Portuguese
Véteindre».,Portuguese
"The anger must not be aroused, but on the contrary must be allayed.",Portuguese
"«Don't add fuel to the fire in order to appease it or, still less, to put it out».",Portuguese
"MAKASI KA MATUNGANGA KO, VONDA KAKA MAVONDANGA.",Portuguese
"A ira não constrói, destrói sempre.",Portuguese
A ira é uma má conselheira.,Portuguese
«Vale mais o jeito do que a força».,Portuguese
"La colêre ne construit pas, elle détruit toujours.",Portuguese
«La violence est mauvaise conseillêre».,Portuguese
«On prend plus de mouches avec du miel qu'avec du vinaigre».,Portuguese
"Anger does not construct, destroys always.",Portuguese
«Anger is a bad counsellor».,Portuguese
«Harsh treatment pays no dividends».,Portuguese
MAKINU MA MBUTA MUNTU KA MANANGANGA KO.,Portuguese
A dança de um mais velho não demora muito tempo.,Portuguese
A alegria dos velhos é moderada pela força da sua idade.,Portuguese
Deve-se respeitar a fraqueza dos mais velhos.,Portuguese
La danse des vieux ne dure pas longtemps.,Portuguese
Valiégresse des vieux est tempérée par la force de leur âge.,Portuguese
«Respectez la faiblesse des vieillards».,Portuguese
The old people's dance doesn't last much longer.,Portuguese
The joy of the old people is moderated by the strength of their age.,Portuguese
Respect the weakness of the old people.,Portuguese
MAKOKO MOLE MA NSUSU KA MAKOKWELANGA SANZA DIMOSIKO.,Portuguese
Dois galos não cantam na mesma capoeira.,Portuguese
Duas pessoas rivais não podem partilhar pacificamente um mesmo espaço.,Portuguese
Deux cogs ne chantent pas dans un même poulailler.,Portuguese
Deux personnes rivales ne peuvent pas vivre pacifiquement dans un même,Portuguese
espace.,Portuguese
173,Portuguese
Two cocks don't sing in one coop.,Portuguese
Two competitors cannot peacefully share the same space.,Portuguese
"MAKUKA MENDA, MADINGA MASALA.",Portuguese
"Passem as águas de cima, que as do fundo fiquem.",Portuguese
"Que os menos interessados no assunto partam, fiquem os mais interessados.",Portuguese
"«O barco passa, a margem fica» (Prov.Cambojano — Rosa Sha).",Portuguese
Que les caux superficielles passent et celles qui sont profondes restent.,Portuguese
Que les personnes moins concernées de Y'affaire sen aillent et restent les plus res-,Portuguese
ponsables.,Portuguese
"«La barque passe, le rivage reste» (Prov. Cambodgien — Rosa Sha).",Portuguese
Let the superficial waters flow down and the deep ones remain.,Portuguese
The less interested persons in the matter may go away but remain the more,Portuguese
responsible ones.,Portuguese
"«The boat goes on, the bank remains» (Cambodian prov. - Rosa Sha).",Portuguese
MAKUKU MATATU MA VILANGA KINZU.,Portuguese
A lareira onde cose a panela é feita de três pedras (ou peças).,Portuguese
«Os deuses amam os números ímpares» (Virgile).,Portuguese
«Todas as boas coisas vão por três» (Thomas Usk).,Portuguese
Le foyer oú I'on cuit la casserole est constitué de trois piêces.,Portuguese
«Les dieux aiment les nombres impairs» (Virgile).,Portuguese
«Toutes les bonnes choses vont par trois» (Thomas Usk).,Portuguese
The hearth where the pan is cooked is made of three pieces.,Portuguese
«The gods like the odd numbers» (Virgile).,Portuguese
«AII the good things go by three» (Thomas Usk).,Portuguese
"MALAFU (MALAVU) MAVITANGA MA YEYE, MASUKININANGA",Portuguese
MAKOILA.,Portuguese
"O vinho da primeira colheita é fraco, o que segue é maduro (forte).",Portuguese
"Todo início é modesto, o fim coroa a obra.",Portuguese
"Le vin de la premiêre cueillette est faible, celui qui vient aprês est fort.",Portuguese
"Tout début est modeste, tandis que la fin couronne Foeuvre.",Portuguese
"The wine of the first collection is weak, the following one is strong.",Portuguese
Every beginning is humble whilst the end crowns the work.,Portuguese
MALAVU N'KINISI A MEWIDI.,Portuguese
O vinho faz dançar um viúvo ou uma viúva.,Portuguese
Pois quem bebe durante o luto afoga a sua tristeza no vinho.,Portuguese
Le vin fait danser un veuf ou une veuve.,Portuguese
Car celui qui boit durant deuil noie ses chagrins dans le vin.,Portuguese
Wine makes a widow or a widower dance.,Portuguese
Because he who drinks during the mourning draws his care in the wine.,Portuguese
174,Portuguese
MALONGI METO I NKUT'ALEKE MU NZILA KI MBUTA.,Portuguese
Os nossos conselhos são o mantimento da juventude no caminho do cresci-,Portuguese
mento.,Portuguese
Uma boa instrução prepara a juventude no caminho da sabedoria para uma boa,Portuguese
velhice sem muitos remorsos.,Portuguese
«Quem não ouve conselhos não chega a velho».,Portuguese
"«Instrui ao menino no caminho em que deve andar, e até quando envelhecer não",Portuguese
se desviará dele» (Prov. 22:6).,Portuguese
Nos conseils sont les provisions pour la jeunesse sur le chemin de croissance.,Portuguese
Une bonne instruction est le meilleur passeport pour la jeunesse sur chemin de la,Portuguese
sagesse pour une vieillesse sans trop de remords.,Portuguese
«Qui n'écoute pas les conseils trouve malheur en chemin».,Portuguese
"«Instruis Y'enfant dans le chemin qu'il doit suivre, et quand il sera vieux, il ne",Portuguese
s'en détournera pas» (Prov. 22:6).,Portuguese
Our counsels are the victuals for the youth on the way of the grown-ups.,Portuguese
A good instruction is the passport for the youth's future in the way of wisdom,Portuguese
and for sturdy old age without remorse.,Portuguese
"«He who doesn't hear counsels, will not become a grown-up».",Portuguese
"«Train a child in the way he should go, and when he is old he will not turn from",Portuguese
it.» (Prov. 22:6).,Portuguese
"MALU MAVUNDANGA, NWA KA UVUNDANGA KO.",Portuguese
"Os pés podem repousar de ter andado muito, ao passo que a boca não descansa",Portuguese
de ter falado muito.,Portuguese
"O provérbio quer dizer que depois de uma viagem, o viajante deve contar os fac-",Portuguese
tos da viagem; sem pretexto de remeter-se do cansaço de ter muito andado.,Portuguese
"«Os pés cansem-se de andar, a boca nunca se cansa de falar».",Portuguese
"Les pieds peuvent se reposer d'avoir beaucoup marché, tandis que la bouche",Portuguese
ne se fatigue pas d'avoir trop parlé.,Portuguese
"Le proverbe veut dire qu'aprês avoir fait un voyage, on doit en raconter les faits,",Portuguese
sous le prétexte de se remettre d'abord des fatigues du voyage.,Portuguese
"«Les pieds se fatiguent de marcher, la bouche ne se fatigue jamais de parler».",Portuguese
"The feet can take rest of having walked too much, while the mouth doesn't get",Portuguese
tired of having speaken too much.,Portuguese
"The proverb means that after a trip, you must tell the story, without any pretext",Portuguese
of resting first from the tiredness of the trip.,Portuguese
"«The feet get tired of walking, but the mouth doesn't get tired of talking».",Portuguese
MAMBU MA NZO NKWENO KA MALANDWANGA KO.,Portuguese
Não se deve interferir nos assuntos da casa alheia.,Portuguese
«Respeite a casa alheia e a sua respeitada será também».,Portuguese
On ne doit pas s'entremêler des affaires de la maison d'un autre.,Portuguese
«Respecte la maison d'un autre et la tienne sera aussi respectée».,Portuguese
Don't interfere in the matter of another fellow's house.,Portuguese
«Respect your fellow's house and yours will be respected also».,Portuguese
175,Portuguese
MAMONA NAMBAMBI I MAMONA NA VALANKUKUTU.,Portuguese
O que aguenta o iguano é o que atura o lagarto.,Portuguese
Quando um mesmo mal é compartilhado com uma pessoa é mais tolerável que,Portuguese
um quinhão de um só indivíduo.,Portuguese
"«O que não tem remédio, remediado está».",Portuguese
Ce dont souffre l'iguane est aussi ce qu'endure le lézard.,Portuguese
"Lorsqu'un sort est partagé par plus d'une personne, il devient plus supportable",Portuguese
que celuí souffert par un seul individu.,Portuguese
«Il faut savoir prendre son mal en patience».,Portuguese
What endures the iguana is the same as what suffers the lizard.,Portuguese
Any difficult situation shared with someone other is more tolerable than the suf-,Portuguese
fering of one person.,Portuguese
«What can be cured must be endured».,Portuguese
MAMONA MBWA MAFWILA KU MBUNDU.,Portuguese
