description,language
N,Portuguese
NAKONGO OYELESE I WANDI YE LUNGISA O NGANL MBIMBA MUTOMA.,Portuguese
O rei do Kongo condenara o seu irmão e absolvera o seu próprio inimigo pela,Portuguese
justeza da causa.,Portuguese
Um chefe é reconhecido e honrado pelas suas qualidades de juiz imparcial.,Portuguese
"«O príncipe não deve seguir as razões dos grandes, senão as grandes razões» (Pe.",Portuguese
António Vieira).,Portuguese
Le roi du Kongo condemna son frêre et dut absoudre son propre ennemi pour,Portuguese
la raison de la cause.,Portuguese
On reconnait et honore un chef par ses qualités de juge impartial. «Le prince ne,Portuguese
"doit pas suivre les raisons des grands, si ce n'est les grandes raisons» (Pe. António",Portuguese
Vieira).,Portuguese
The king of the Kongo condemned his brother and acquitted his own enemy,Portuguese
for the sake of the foe's reason.,Portuguese
A chief is acknowledged and honoured through his quality of fair-minded judge.,Portuguese
"«The prince must not follow the reasons of the great, but only the great reasons»",Portuguese
(Pe. António Vieira).,Portuguese
NANI INTANTU AKU? NTANTU AKU MWISI NZO.,Portuguese
Quem é o teu inimigo? Teu inimigo é uma pessoa da sua família.,Portuguese
«O teu inimigo é o oficial do teu ofício».,Portuguese
"Qui est votre ennemi? C'est quelqu'un de votre famille,",Portuguese
"«On n'est trahi jamais que par les siens, car «l'ennemi du barbie est celui de son",Portuguese
métier».,Portuguese
Who is your enemy? It is a person of your family.,Portuguese
«Your enemy is the official of your office».,Portuguese
"NA N'LANGI OLANGIDI NSEK'ATUNGILA, KANSEK'AZYAMINA KO.",Portuguese
Um imigrante escolheu um lugar para construir e não para ser enterrado.,Portuguese
"Um homem pode escolher um lugar para sua residência, mas não pode escolher",Portuguese
onde vai ser enterrado.,Portuguese
"Un immigrant choisit un emplacewment pour construire sa résidence, mais ne",Portuguese
peut pas choisir celui de sa derniêre demeure.,Portuguese
"En effet, on peut choisir le lieu de sa résidence mais pas celui de son cimetiêre.",Portuguese
"An immigrant choses where to settle, but cannot choose where to be buried.",Portuguese
"In fact, one can chose where to live, but not where to be buried.",Portuguese
NDA KUFWIDI MWAN'A NWAYAKANL KWENDI KUFWIDI,Portuguese
NZAYAKANIKO.,Portuguese
"Vai ao funeral do filho de um grande homem, mas não vai ao dele próprio.",Portuguese
229,Portuguese
"No funeral do seu filho, ele próprio sabe a importância das pessoas que recebe, ao",Portuguese
contrário do filho que faria pouco caso dos conhecidos do seu pai por ele desco-,Portuguese
nhecidos.,Portuguese
Allez aux funérailles du fils d'un grand homme et non à ses própres funerailles.,Portuguese
"Dans le cas des funérailles de son fils, le pêre sait Yimportance de ceux qu'il",Portuguese
"reçoit, au contraire du fils dans le cas des funérailles du pêre.",Portuguese
Go to the funeral of the great man's son and not to the funeral of the great man,Portuguese
himself.,Portuguese
"At the funeral of the son, the father knows the importance of the persons he",Portuguese
"receives, unlike the son in the case of his father's death.",Portuguese
"NDA KUMONA, KWENDI KUWA KO.",Portuguese
Ver vale mais do que ouvir.,Portuguese
"«Os olhos confiam em si próprios, os ouvidos confiam nos outros».",Portuguese
vaut mieux voir qu'entendre.,Portuguese
"«Les yeux se confient à eux-mêmes, les oreilles se fient à autrui».",Portuguese
Better to see than to hear.,Portuguese
"«Eyes rely on themselves, ears rely on others». .",Portuguese
"NDA KUZOLELE MWAN'A NKENTO, KWENDI KUZOLELE SE YE",Portuguese
NGUDI KO.,Portuguese
Vai aonde está o coração da mulher e não aonde a destinam os seus pais.,Portuguese
"«Onde há casamento sem amor, haverá amor sem casamento» (B. Franklin).",Portuguese
Aliez oú se penche le coeur de la jeune fille et non oú la destinent ses parents.,Portuguese
"«Oú Il y a mariage sans amour, il y aura amour sans mariage» (B. Franklin).",Portuguese
"Go where is the lady's love, and not where heir parents want her to go.",Portuguese
"«Where there is marriage without love, there will be love without marriage» (B.",Portuguese
Franklin).,Portuguese
"NDINGA S, NDING' À NKOSI.",Portuguese
A voz do pai é a voz do leão.,Portuguese
"A voz do chefe de família tranquiliza a família, pois é a encarnação da autoridade.",Portuguese
La voix du pêre est la voix du lion.,Portuguese
"La voix du chef de famille srassure la famille, car elle est Hincarnation de I'autorité.",Portuguese
The father's voice is the lion's voice.,Portuguese
"The chief family's voice sustains the confidence of the family, because it is the",Portuguese
incarnation of the autority.,Portuguese
"NDOKI VO KAVONDA MUNTU, VATA DIYITALELE YE KYADI, MWANGI A",Portuguese
"NSANGU KANA KAMWANGA NSANGU, VATA DIVAMBANENE.",Portuguese
"Se um sorceiro matar alguém, a aldeia recolhe-se em tristeza, mas se um",Portuguese
"detracto espalhar uma má nova, a aldeia dispersa-se.",Portuguese
Este provérbio mostra que a maledicência é mais desagregadora do que a feitiça-,Portuguese
ria que actua ocultamente.,Portuguese
230,Portuguese
"Si un sorcier tue un homme, le village se recueille en tristesse, mais si un",Portuguese
"détracteur débite un odieux mensonge, le village se disperse.",Portuguese
Ce proverbe montre que la médisance est plus perturbatrice que les effets occultes,Portuguese
de I'ensorcellement.,Portuguese
"If a sorcerer kills a person, the village mourns, but if a detractor spreads bad",Portuguese
"news, the village is scattered.",Portuguese
This saying shows that the slander is more disintegrating of the community than,Portuguese
the occult effects of the sorcery.,Portuguese
NDUNDU KANA UNKATULA NSUKI UNKATWELVE BULA.,Portuguese
"Se rapares o cabelo do um albino, tu lhe tiras a sua dignidade.",Portuguese
«Uma cabeça sem cabelo é horrível» (Ovídio). «O splendor do cabelo encobre os,Portuguese
defeitos» (provérbio irlandês — citado por M. Maloux —- Larousse).,Portuguese
"Si vous rasez les cheveux de I'albinos, vous diminuez sa dignité.",Portuguese
«Une tête sans cheveux est horrible» (Ovídio). «La splendeur de la chevelure,Portuguese
cache les défauts» (proverbe irlandais — cité par M. Maloux — Larousse).,Portuguese
"If you cut the albinos” hair, you lessen his dignity.",Portuguese
«An unhaired head is horrible» (Ovídio). «The splendour of the hair hides the,Portuguese
defects» (Irish proverb - quoted by M. Maloux — Larousse).,Portuguese
NDUNGU ZE KANDA KANA ZIDYA MFUMU A KANDA ZILUNGIDI.,Portuguese
Se uma comida preparada e oferta em nome da família for tomada pelo chefe,Portuguese
"da família, é considerada como tomada por todos os membros da dita família.",Portuguese
Um compromisso assumido pelo chefe da família engaja implicitamente todos os,Portuguese
membros da família.,Portuguese
Si un repas préparé et offert au nom de la famille est pris par le chef de cette,Portuguese
"famille, il est censé être pris par tous les membres de toute la famille.",Portuguese
Un compromis pris par le chef de la famille engage implicitement tous les mem-,Portuguese
bres de la famille.,Portuguese
"If a meal prepared and offered in the name of a family, is shared by the chief of",Portuguese
"this family, it is considered as shared by all the members of that family.",Portuguese
A compromise accepted by the family's chief is implicitly accepted by all the,Portuguese
members of the family.,Portuguese
"NDYA MYA NZIMA VAMAKALA, KANA YOKOLA MYO MI FWETE",Portuguese
"NATUMUNA MAKALA (YOVO: «NDYA MYA NZIMA VA MAKALA, KANA",Portuguese
YOKOLA MYO KA MIKONDA NATUMUNANGANA MAKALA KO»).,Portuguese
Os intestinos da civita (ou gato-de-algália) no fogo não saem da fogueira sem,Portuguese
arrastar umas brasas.,Portuguese
«Há causas que não faltam de deixar rastos de seus efeitos».,Portuguese
Les intestins de la civette au feu nen sortent pas sans entraíner des charbons.,Portuguese
«Il est des causes qui ne manquent jamais de laisser des traces de leurs effets».,Portuguese
The intestines of the civet in the fire cannot be drawn out of the fire without,Portuguese
taking along hot coals.,Portuguese
«There are causes which don't fail to leave traces of their effects».,Portuguese
231,Portuguese
NDYA MYA NZIMA NKADI MIDILWANGA.,Portuguese
Come-se os intestinos da civeta por serem amargos.,Portuguese
Este provérbio indica que os alimentos amargos dão mais saúde do que as doces.,Portuguese
"«A única maneira de conservar a saúde é comer 0 que não queremos, beber o",Portuguese
que não nos agrada e fazer o que se prefereria não fazer» (Mark Twain).,Portuguese
On mange les intestins de la civette parce qu'ils sont amers.,Portuguese
Este proverbe indique les aliments amers donnent plus de santé que ceux qui,Portuguese
"sont sucrés. «L'unique maniêre de conserver la santé, c'est de manger ce que",Portuguese
"nous n'aimos pas, boire ce qui ne nous plait pas et faire ce que I'on préférerait ne",Portuguese
pas faire» (Mark Twain).,Portuguese
We eat the civet's intestines for being bitter.,Portuguese
This saying advocates that bitter food provides more health than sweet food. «The,Portuguese
"only way of keeping health is to eat what we don't like to eat, to drink what does",Portuguese
"not please us, and to do what we'd rather like not to do» (Mark Twain).",Portuguese
N'DY'E NGWIDI KA SIMBWANGA VALAKA KO.,Portuguese
Quem faz uma promessa não pode ser ameaçado de estrangulamento.,Portuguese
