description,language
D,Portuguese
"DIDI NKEKA, BUNDU YA NKEKA NANI DIDI YO?",Portuguese
"Comeste a planta nkeka, quem comeu os seus frutos?",Portuguese
Este provérbio significa que a aceitação de uma parte da verdade não iliba das,Portuguese
consequências do mal cometido.,Portuguese
"«Quem aceita o principal, aceita também o secundário»,",Portuguese
"«Quem aceita o problema, aceita também as suas consequências».",Portuguese
"Tu as mangé la plante nkeka, qui a mangé ses fruits?",Portuguese
Ce proverbe signifie que avouer une partie de la vérité ne met personne à W'abri,Portuguese
des conséquences du mal commis.,Portuguese
"«Qui accepte le principal, en accepte aussi le secondaire», «Qui accepte un pro-",Portuguese
blême en accepte aussi les conséguences».,Portuguese
"You ate the plant nkeka, who did eat its fruits ?",Portuguese
This proverb means that to confess a part of the truth does not clear from the guilt.,Portuguese
"«Who accepts the principal accepts also the secondary», «He who accepts a pro-",Portuguese
blem accepts also the consequences».,Portuguese
DIDI ZASONGO E ZA YANGA ZINLAKILU.,Portuguese
"Comerá agora peixe espetado que se vende no mercado da aldeia, em detri-",Portuguese
mento do inesgotável peixe do lago a pescar à vontade.,Portuguese
Diz-se de alguém que perde uma posição vantajosa e segura para uma mais des-,Portuguese
vantajosa menos segura.,Portuguese
"Vous mangerez maintenant le poisson en broche vendu au marché du village,",Portuguese
"au détriment du poisson à gogo à pêcher par vous-même.,",Portuguese
Le proverbe se réfêre à quelqu'un déchu d'un droit ou d'une position plus avan-,Portuguese
tageuse et súre pour une autre désavantageuse ou moins súre.,Portuguese
"You will eat from now spit fish sold on the village market, instead of fishing",Portuguese
willingly yourself the fresh fish.,Portuguese
It is said of someone who has forfeited his rights or has lost a good position for a,Portuguese
less secure or bad one.,Portuguese
"DIKOKO, MBIZI A NSONI, FUKU IMBUTA.",Portuguese
"O gafanhoto é uma comida vergonhosa, mas torna-se importante quando é",Portuguese
bem coberta.,Portuguese
"«A coisa mais comum, uma vez que nos é escondida, torna-se uma delícia.»",Portuguese
(Oscar Wilde).,Portuguese
"La sauterelle est un aliment honteux, mais prend de l'importance si elle est",Portuguese
bien couverte.,Portuguese
"«La chose la plus commune, dês qu'on la couvre, devient un délice.» (Oscar Wilde).",Portuguese
"A grasshopper is a shameful meal, but takes on some importance when it is",Portuguese
well covered.,Portuguese
47,Portuguese
"«The most common thing, as soon as it is hidden from us, becomes a delight.»",Portuguese
(Oscar Wilde).,Portuguese
DILA MU MESO KAKUTOMANGA KO.,Portuguese
"Comer com a avidez ou sofreguidão dos olhos não é bom, é enganar o estômago.",Portuguese
«Ter mais olhos que barriga é prejudicial.»,Portuguese
"Manger avec l'avidité des yeux, c'est tromper Vestomac.",Portuguese
«Avoir les yeux plus grands que le ventre est préjudiciable».,Portuguese
To eat with eye's avidity is to deceive the stomach.,Portuguese
«To have eyes bigger than one's stomach is prejudicial».,Portuguese
DILU KA MVULUZI KO.,Portuguese
O chorar não salva e as tristezas não pagam dívidas.,Portuguese
"Segundo Shakespeare: «as lágrimas provam a afeição, mas não são um remédio»",Portuguese
e Euripide afirma que «a força da alma é preferível à beleza das lágrimas.»,Portuguese
Pleurer ne sauve pas et la mélancolie ne paie pas de dettes.,Portuguese
"Selon Shakespeare: «les larmes prouvent I'affection, mais ne sont pas un remê-",Portuguese
de» et Euripide affirme que «la force de I'âme est préférable à la beauté des lar-,Portuguese
mes.»,Portuguese
"Weeping doesn't save, and sadness doesn't make it any better.",Portuguese
"According to Shakespeare: «tears prove the affection, but are not a remedy» and Euri-",Portuguese
pides affirms that «the strength of the soul is preferable to the beauty of the tears.»,Portuguese
"DINSUSU-NSUSU NKETE DITA NSUNGA, MUNTU NIKWENE DIO.",Portuguese
A planta dinsusu-nsusu espalha o seu aroma só quando for mexido por,Portuguese
alguém.,Portuguese
Este provérbio refere-se á situação de jovens mulheres que em geral suscitam,Portuguese
rivalidades da parte de vários pretendentes especialmente no momento preciso,Portuguese
"em que são escolhidas por verdadeiros amantes que, assim, as incitam a brotarem",Portuguese
"como lindas flores, dos seus botões.",Portuguese
"«Um pedaço de incenso pode ser grande como o joelho, mas, se não for queima-",Portuguese
"do, não exala perfume» (prov. Malaio — R. Sha).",Portuguese
La plante dinsussu-nsusu ne répand son parfum que si elle est secouée par,Portuguese
quelqu'un.,Portuguese
"Cet adage se réfêre à la situation des jeunes femmes qui, en général, ne suscitent",Portuguese
des rivalités de la part de plusieurs prétendants qu'au moment précis oú elles sont,Portuguese
"fiancées par des amants sincêres qui les incitent ainsi à s'éclore, comme de jolies",Portuguese
"fleurs, de leurs bourgeons.",Portuguese
"«Un morceau d'encens peut être aussi gros que le genou, mais, s'il n'est pas",Portuguese
"brúlé, il n'exhale pas son parfum» (Prov. Malais — R. Sha).",Portuguese
"The dinsusu-nsusu plant, cannot expand its flavour if it is not shaken by",Portuguese
someone.,Portuguese
"This saying refers to the situation of young women who, in general, arouse rival-",Portuguese
"ries from various suitors, especially in the moment they are engaged to sincere",Portuguese
"lovers, who then incite them to bloom as nice flowers from their buds.",Portuguese
48,Portuguese
"«May it be as big as the knee, a piece of incense cannot exhale its scent if it is not",Portuguese
burnt» (Malayan proverb — R. Sha).,Portuguese
DISU DIFWIDI NKOKELA (MASIKA) DIELE BETELA YE KILU.,Portuguese
É uma feliz coincidência o facto de o olho ter sido magoado justamente na,Portuguese
caída da noite.,Portuguese
Diz-se de alguma coisa que acontece concomitantemente com uma outra cuja,Portuguese
presença pode lhe ser favorável.,Portuguese
C'est une heureuse coincidence le fait que I'oeil a été meurtri justement à la,Portuguese
tombé de la nuit.,Portuguese
Ce proverbe se réfêre à toute chose qui arrive concomitamment avec,Portuguese
une autre dont la présence peut lui être favorable.,Portuguese
It is a happy coincidence the fact that the eye was hurt precisely at nightfall.,Portuguese
It is said of some thing that happens concomitantly with another whose presence,Portuguese
can be favourable to the first or to both things.,Portuguese
DIVENGE NKWENO AVO KU VENGE DIOKO MENO NGANI.,Portuguese
O que fez o outro embota os teus dentes se não o fizeres.,Portuguese
Refere-se aos exemplos que são contagiosos.,Portuguese
Ce qua fait un autre agace tes dents si tu ne le fais pas.,Portuguese
C'est le cas de dire que les exemples sont contagieux.,Portuguese
What another fellow did sets your teeth on edge if you don't do it.,Portuguese
Itis the case of saying that examples are contagious.,Portuguese
DYA DYAKI KANSI SISA NGUDI A NSUSU.,Portuguese
Come o ovo mas poupa a galinha,Portuguese
«Não abata a árvore para colher a fruta».,Portuguese
«Viva e deixe viver».,Portuguese
"Mange Voeuf mais laisse la poule,",Portuguese
«Il ne faut pas couper I'arbre pour en cueillir les fruits».,Portuguese
«Vivez et laissez vivre».,Portuguese
"You can eat the egg, but let live the hen.",Portuguese
«Don't cut the tree in order to get the fruit».,Portuguese
«Live and let live».,Portuguese
"DYA KANA KUTUKA MPAKA, MAZOWA ADIDIKO.",Portuguese
"Se a comida originar contenda, é um sinal de que os que a comem são tolos.",Portuguese
"No desfruto de todas as coisas, é necessário ser tolerante, moderado e não egoísta,",Portuguese
sabendo que: «todas as boas coisas encontram-se na natureza».,Portuguese
"Si la nourriture provoque une dispute, c'est que ceux qui en mangent sont des sots.",Portuguese
"Dans la jouissance de toutes les choses, il est nécessaire d'être tolérant, modéré et",Portuguese
non égoiste sachant que: «toutes les bonnes choses se trouvent dans la nature».,Portuguese
"If the meal causes a quarrel, it is a signal that those who eat it are fools.",Portuguese
49,Portuguese
"To enjoy the things of life, it is wise to be tolerant, moderate and not selfish, kno-",Portuguese
wing that: «all good things are in the nature».,Portuguese
DYAKI DIMOSI DYAWOLA DI FWASANGA MAKI MAMENGI.,Portuguese
Um ovo podre contamina muitos ovos frescos.,Portuguese
O mau exemplo é contagioso e estraga muita gente.,Portuguese
"«Anda com os bons, serás um deles. Chega-te aos maus, serás pior do que eles.»",Portuguese
Un oeuf pourri contamine beaucoup d'autres ceufs frais.,Portuguese
Le mauvais exemple est contagieux et gâte beaucoup de gens.,Portuguese
"«Hante les bons, tu seras un d'eux, hante les mauvais, tu seras pire qu'eux.»",Portuguese
One rotten egg spoils many other fresh eggs.,Portuguese
Bad example is contagious and spoils many people.,Portuguese
«A man is known by the company he keeps.»,Portuguese
DYAKI DINA MU NWA DILUTIDI NSUSU INA KUNA SANZI.,Portuguese
