quote,description,explanation
A ENGI ADILANGA MU LONGA SE ADILA VA MAKAYA, AY'ADILANGA VA MAKAYA SE ADILA MU LONGA;Muitos dos que comem nos pratos comerão cedo ou tarde sobre as folhas e os que comem sobre as folhas comerão nos pratos.;Este provérbio ensina-nos que tudo, neste mundo, está sujeito a inúmeras vicissitudes, e que ninguém sabe hoje de que será feito o amanhã, pois que, de um lado,segundo Cândido Figuereiro, «nada há seguro na estrada da vida» e que de outro lado, «não há bem que sempre dure, nem mal que não acabe».

A ENGI AVWANDANGA VA KYANDU, SE AVWANDA VA NTOTO,AVWANDANGA VA NTOTO SE AVWANDA VA KYANDU (KYANDI);Muitos dos que se assentam nas cadeiras, assentar-se-ão no chão, e os que estão sentados no chão assentar-se-ão nas cadeiras.;Este provérbio, como o primeiro, significa que neste mundo tudo pode mudar, pois «nada na vida é permanente».

AFWIDI MU VITA KA ENA LUTANGU KO, MUN'ATUKIDI ENA YE LUTANGU LWAU.;Os que morreram na guerra são inumeráveis. Contudo, são conhecidos pelas suas familias pelos seus nomes e números. Assim, durante a guerra, as famílias conhecem e choram os seus entes queridos mortos pela pátria, enquanto o estado os regista pelos seus nomes e soma o seu número.;— Cada estado deve honrar os seus filhos tombados no campo de batalha pela defesa do país e cada povo deve lembrar-se dos seus mártires.

AKENTO ANATI À NKALU ZA MAZA YE MAFUNDA MA MAMBU.;As mulheres são portadoras das calabaças de água e dos embrulhos de bisbilhotices, isto é, as mulheres são mais boateiras do que os homens;«Ser uma mulher e calar-se são duas coisas incompatíveis.» (Tirso de Molina).

«AKENTO KUMI NGIN'AU!»: NGEYE MOSI UKIVUNANGA.;«Tenho dez mulheres»: Tens dez? «Tu te enganas a ti mesmo.»;Estas tantas mulheres não são realmente todas tuas, pois: «quem muito abarca pouco aperta.»

AKENTO NSAMBWADI ANETE NSENGO NSAMBWADI KU NKOKO ATOMBOKELE YE NGANDU NSAMBWADI, AVO AKALA NSAMBWADI ANETE TANZI NSAMBWADI, WANA SIMBI NSAMBWADI ATOMBOKA YAU.;Sete mulheres foram ao rio com sete enxadas e trouxeram sete crocodilos. Se sete homens forem ao mesmo rio com sete machados, trarão certamente sete sereias.; Este provérbio significa que «as grandes causas produzem grandes efeitos».

AKI NANZIMA, MBÃLU ANTIMA ANWANINANGA YE MAZUNU MA NKELE M'ANKONGO.;As civetas dizem: «Lutamos contra as bocas de espingardas dos caçadores por causa da sua crueldade.»;Refere-se a pessoas revoltadas que justificam a sua violência pela maldade excessiva dos seus inimigos.


AKULU ADYA MBÁ (NGAZI), ATAWULE NKAMFI.;Os antepassados comeram as nozes da palmeira e deitaram os sobejos.;Os antepassados cumpriram os seus deveres e transmitiram o facho às novas gerações. Agora é a vez destas de se mostrarem dignas da herança recebida.

AKUNDI KAKONDI, AKUNDI KASAKI.;«Não» à falta de amigos, e «não» a numerosos amigos.;«Amigos: nem nenhum, nem muitos». «Ter muitos amigos é como não ter amigo algum com que contar».

AKWA NGANGU YE NGANGU KALENDI TUNGILA VA KIMOSI KO.;Dois intelectuais não podem conviver juntos, pois os seus talentos, em vez de uní-los, opônem-no.;Como «dois galos não podem cantar na mesma capoeira» também «os grandes homens não podem aturar-se uns aos outros e quase não têm o espírito. É bom misturá-los com os pequenos.» (Anatole France).

AKWA NGUBA KANGU NKATU, AKWA KANGU NGUBA NKATU.;Os que têm amendoins não têm torradeira, os que têm torradeira não têm amendoins.;«Deus dá nozes a quem não tem dentes.»

AKWENDA MALEMBE ATA MASAKUBA SUNGULA NGEYE UTA KWEND'E NTINU.; Os que vão devegar são susceptíveis de tropeçar, com maior razão tu que vais correndo!; «Devagar que tenho pressa», «Quem tem pressa de mais tropeça no fim» ,«A pressa é inimiga da perfeição».

ALAMBI AYINGI MADIA AYIVISANGA.;Muitos cozinheiros estragam a sopa.;«Quando muitos homens envolvem-se num assunto, o resultado é uma confusão.» (L.& R. Flavel).

ALEK'AYOKANGA NDUNGU AKOVOLWESANG'AZITU.;Os jovens que queimam jindungu (piri-piri) fazem tossir os sogros.;«O mau comportamento dos jovens envenena as relações dos adultos.»

ALEKE, NTU MIA NZENZE KA MITWANGA MWAMBA KO.;Os jovens são como cabeças de grilos que não suavizam os temperos.;Diz-se dos jovens que não se conformam com os conselhos dos seus pais ou dos adultos em geral..

ALELE ANTU, ASIKAMA A MPOFO.;Os adormecidos são homens activos, os despertados são homens cegos.;Este provérbio refere-se à actividade de um homem adormecido e um outro em estado de vigia, e mostra que a actividade do homem adormecido dirigido pelo seu subconsciente é mais eficiente que a do homem despertado. «Na vida terrestre, segundo J. G. Bourgeat, há dois estados absolutamente distintos: o estado de vigia destinado ao trabalho fecundo para aquisição das virtudes que se consubstanciam numa só: isto é, a prática da fraternidade; e o estado de sono em que a alma não é de modo algum adormecida, pois procura afuroar sem cessar em todos os lados, para reencontrar, através da floresta obscura que é a vida, o caminho que leva à Montanha, à Luz, à Felicidade, a Deus!».

AMBOTE I AKWENDANGA, AMBII ASALANGA.;Os bons partem cedo, os maus ficam mais tempo.;O adágio significa que os bons morrem cedo ao passo que os maus vivem mais tempo. «Má erva cresce sempre».

AMBUTA ATUKANIKINA VO KATUDYE NKASA ZA NKUKUTU YOVO WANDU WA NKUKUTU KO.;Os antepassados proibiram-nos de comer feijões crus.;Este adágio é utilizado para incutir ou reforçar o respeito de uma tradição ou de um preceito legado pela antiga sabedoria.

AMBUTA KADI KUSISILA NZUNDU KO AVO KAMONT MPINU KO YOVO: AMBUTA ASISILA NZUNDU, MPINU AMONA.;Os velhos não te teriam investido da autoridade se não te tivessem julgado capaz mas porque confiaram na tua sabedoria.;Este provérbio é um reconhecimento da competência dos jovens que assumem sabiamente as responsabilidades herdadas dos seus mais velhos ou antepassados. Assim, foram escolhidos como seus dignos sucessores porque mostraram-se dignos da sua confiança.


AN'A FUTANGA MBI IVANGANGA MASE MAU Yovo N'NDIA MFUKA 5, KANSI MEUTI À MFUK A: MWANA.;O filho sofre da maldade do pai - ou quem se individa é o pai, mas quem paga a dívida é o filho.;O mal que comete um homem o segue e afecte directamente na sua cane, ou indirectamente através dos seus filhos.

AN'A MBWA KA VITA TEMONA MESO KO EKUMA IMANATA NGUDI A MBWA MENGIL.;Os cachorrinhos não abrem cedinho os olhos por causa de muitas maldades da sua mãe.;As maldades dos pais repercutem-se na sua progenitura. «Muitas vezes o pequeno javali paga pelos estragos do javali adulto» (provérbio Dinamarquês - R.Sha).

AN'ANGUDI AVATILA VA MOSI KANSI, E MWINGILU 1 MBUTA.;Os filhos de uma mesma mãe que lavram num mesmo campo, devem precaverse contra possíveis contendas demarcando primeiramente os limites de suas
propriedades respectivas.;«Sede irmãos na vida comum, mas estranhos nos negócios» (Provérbio Árabe - Rosa Sha). «Mais vale prevenir do que remediar» pois, «as propriedades são fontes de conflitos entre irmãos.»

ANSIDIDI MBOLONGO YA TIYA VA MOKO.;Puseram-lhe uma beringela quente na mão.;Este provérbio é o mesmo que «colocar uma batata quente na mão de alguém ou embaraçá-lo com um problema de difícil solução».

A TUMA AVAVA, ANATI À NSANGU A ENGI (A INGI).;Os mensageiros são raros, os boateiros abundam.;«Más novas viajam depressa.»

AVITA ASUKININA, ASUKININA AVITA.;Os primeiros serão os derradeiros e os derradeiros serão os primeiros (Mat. 20:16).;Este provérbio é um conselho de não dormir sobre os louros mas de fazer um esforço sustentado em qualquer actividade importante da vida.

AVITANGA ZIKA MVUMBI KIE NTU AZIKANGA YOVO AKANGANGA, AY'ASUKININANGA KIE MALU AZIKANGA.;Os primeiros que estão presentes num funeral enterram a cabeça do morto. Os que chegam depois do enterro enterram os pés.;A cabeça do defunto refere-se ao enterro do próprio morto e os pés representam os problemas subsequentes e pendentes do seu óbito.

AVO KOVOLA, TAULA, E NTULU AKU IBOSI IVEVOKA.;Se tossir, expectore, pois assim, os pulmões lhe serão aliviados.;Todo o mal que afecta a nossa vida deve ser sanado a tempo e o risco de ver o nosso estado piorar. «Quem negligencia perde.»

AVO NSWA LEKELE, KUKAKI KO E NWA.;Se armares uma massa, não tapes a sua abertura.;O provérbio indica que quando tens um empreendimento não cria obstáculos ao seu normal efeito.

AVO MBIZI UKONDA, KUKOVODIKO.;Se estiver à espreita de uma caça, não deve tossir. «Barulho e caça não andam de mãos dadas» (G. T. Zona).;A indiscrição sobre um assunto em perspectiva prejudica a sua consecução. «Dai, a precaução em demasiada nada prejudica.»

AVO NTELA WAVAVA, KUBATAMA KO AVO MONA FWANGIL.;Se quiseres ser alto, não evitas o matagal.;Se quiseres ser grande, não fujas aos incómodos da grandeza. «Quem boa cama fizer nela se deitará.»

AVO NTI WATEKAMA VANA KWA MBANGU KASINGIKA, ELONGI DIA MBOTE MUNTU A MBOTE UVANANGA DIO.;Se um arbusto estiver torto, entregue-o a um artista para endireitá-lo. «Um bom conselho é dado por um homem bom e sábio» (Pelo «Venerável» Simão G. Toco).;O arbusto torto representa uma situação crítica que pode encontrar solução com a ajuda de um homem bom.

AVO TINA UTA TINA, YOVO LANDA ATAKULANDA, NDA SOTODINGI IBOSI AKUYAMBULA.;Se estiveres a fugir, vai deixando cair o que possuíres para que os teus perseguidores, preocupados em apanharem o que tu lhes deitares, te deixem andar em paz.;«Quem quiser guardar tudo, tudo perde.»

AVO TOTA NTUMBU MU NZILA, MUNTU VITIDI MO SOTWELE YO.;Se achares uma agulha no caminho, foi alguém que te precedeu quem a deixou cair.;Tudo quanto recebemos na vida é obra de alguém que nos abriu o caminho.

AVO VANGA DYAKA DYAMBU DYAMBL NGIELE KUDIKISA NKASA KWA MANDYANGU WADYA NGUDI ANDI SUNGULA NGUDI A NKWENO.;Se cometeres outra maldade, terei de te submeter à prova de veneno preparado por Mandiangu que comeu a sua mãe, e com muito mais razão, a mãe de outrem;Um malfeitor que já comeu sua própria mãe, não vacilará em fazer o mesmo a uma outra pessoa indefesa. Daí: «Um malfeitor não é amedrontado senão por um maior malfeitor que ele.»


AV'OZOLA NKASA, MAFUNGUNUNU KUVONDIKO.;Se desejares feijão, não mates os zangãos. São eles que disseminam o pólen que faz germinar as flores.;«Onde há mel, há abelhas» e «não há rosas sem espinhos».

AVO WELE VATA, WENE WANTU ATELEMA, NGEYE MPE TELEMA, AVO AVWANDA, NGEYE MPE VWANDA.;Se chegares a uma aldeia e encontrares que os habitantes estão de pé, fica de pé também ... se os encontrares sentados senta-te também.;Este adágio é o equivalente do provérbio: «Em Roma, faz como os Romanos ou em Roma, sê romano.». «Quando estiveres no estrangeiro, não esqueças a tua parte de humiliação» (provérbio árabe — citado por M. Maurois — Larousse).

