description,language
"LONGA SE ADILA VA MAKAYA, AY'ADILANGA VA MAKAYA SE ADILA",Portuguese
MU LONGA.,Portuguese
AVWANDANGA VA NTOTO SE AVWANDA VA KYANDU (KYANDI) cf. prov.1).,Portuguese
estão sentados no chão assentar-se-ão nas cadeiras.,Portuguese
os outros: .,Portuguese
"Daí, «até ao lavar dos cestos é vindima».",Portuguese
29,Portuguese
mes» (Luc 6:25).,Portuguese
"AFWIDI MU VITA KA ENA LUTANGU KO, MUN'ATUKIDI ENA YE",Portuguese
LUTANGU LWAU.,Portuguese
suas familias pelos seus nomes e números.,Portuguese
"mortos pela pátria, enquanto o estado os regista pelos seus nomes e soma o seu",Portuguese
número.,Portuguese
defesa do país e cada povo deve lembrar-se dos seus mártires.,Portuguese
their numbers.,Portuguese
30,Portuguese
Molina).,Portuguese
"Estas tantas mulheres não são realmente todas tuas, pois: «quem muito abarca",Portuguese
pouco aperta.»,Portuguese
"«J'ai dix femmes.» Vraiment? Alors, tu te trompes toi-même.",Portuguese
mal étreint.»,Portuguese
AKENTO NSAMBWADI ANETE NSENGO NSAMBWADI KU NKOKO,Portuguese
"ATOMBOKELE YE NGANDU NSAMBWADI, AVO AKALA NSAMBWADI",Portuguese
"ANETE TANZI NSAMBWADI, WANA SIMBI NSAMBWADI ATOMBOKA YAU.",Portuguese
Sete mulheres foram ao rio com sete enxadas e trouxeram sete crocodilos. Se,Portuguese
"sete homens forem ao mesmo rio com sete machados, trarão certamente sete",Portuguese
sereias.,Portuguese
bring out seven sirens.,Portuguese
«Great causes produce great effects».,Portuguese
"AKI NANZIMA, MBÃLU ANTIMA ANWANINANGA YE MAZUNU MA",Portuguese
NKELE M'ANKONGO.,Portuguese
causa da sua crueldade.»,Portuguese
siva dos seus inimigos.,Portuguese
31,Portuguese
"AKULU ADYA MBÁ (NGAZI), ATAWULE NKAMFI.",Portuguese
Os antepassados cumpriram os seus deveres e transmitiram o facho às novas,Portuguese
"AKUNDI KAKONDI, AKUNDI KASAKI.",Portuguese
"«Amigos: nem nenhum, nem muitos».",Portuguese
"Contudo, «Viver sem amigo é morrer sem testemunha» (G.Herbert).",Portuguese
"«About friends: neither none, nor many».",Portuguese
AKWA NGANGU YE NGANGU KALENDI TUNGILA VA KIMOSIKO.,Portuguese
"uni-los, opônem-nos.",Portuguese
Como «dois galos não podem cantar na mesma capoeira» também «os grandes,Portuguese
homens não podem aturar-se uns aos outros e quase não têm o espírito. É bom,Portuguese
misturá-los com os pequenos.» (Anatole France).,Portuguese
32,Portuguese
"Two intellectuals cannot live together, because their talents breed contempt.",Portuguese
Paul Rosenzweig»).,Portuguese
"AKWA NGUBA KANGU NKATU, AKWA KANGU NGUBA NKATU.",Portuguese
amendoins.,Portuguese
pas d'arachides.,Portuguese
