description,language
W,Portuguese
"WALEKAMA, SIK'OVINGILA. (NKELE WALEKAMA, SIKA",Portuguese
UVINGILANGA).,Portuguese
Uma espingarda carregada aguarda de ser disparada num momento apropriado,Portuguese
para tal.,Portuguese
"Diz-se de um assunto ou de um plano, já preparado, e que aguarda de ser posto",Portuguese
em acção.,Portuguese
Une fusil chargé attend le moment d'être tiré.,Portuguese
"Se dit d'une affaire ou d'un plan, déjà preparé, e qui n'attend que d'être mis en",Portuguese
mouvement.,Portuguese
A loaded gun is ready to be fired in its due moment.,Portuguese
"Said of a matter or of a preconceited plan, ready to be put in motion.",Portuguese
"WA MA NSODI A SOLE, KUWE MA MUNDUTI A NZILA KO.",Portuguese
Escuta o que te dizer o lavrador e não o que propalar o transeunte.,Portuguese
"«Sem lenha, o fogo se apagará; e, não havendo maldizente, cessará a contenda...",Portuguese
"As palavras do maldizente são como deliciosos bocados, que descem ao íntimo do",Portuguese
ventre. (Provérbios 26:20-23).,Portuguese
Ecoutez ce que vous dit le cultivateur et non ce que colporte le passant.,Portuguese
"«Faute de bois, le feu s'éteint; et quand il n'y a point de rapporteur, la querelle",Portuguese
"s“apaise... Les paroles du rapporteur sont comme des friandises, elles descendent",Portuguese
jusqau'au fond des entrailles» (Proverbes 26:20-23).,Portuguese
Listen to the farmer's information and not to the newsmonger's.,Portuguese
"«Where no wood is, there the fire goes out: so where there is no talebearer, the",Portuguese
"strife ceases... The words of a talebearer are as wounds, and they go down into",Portuguese
the innermost parts of.the belly» (Prov.26:20-22). «Without wood a fire goes out;,Portuguese
without gossip a quarrel dies down. The words of a gossip are like choice morsels,Portuguese
they go down to a man's inmost parts» (Proverbs 26:20-22).,Portuguese
WANGILA WA KO KANA KANGILA WO NSONI UZININI.,Portuguese
"Se grilhar o gergelim do sogro com vergonha, ele acabará por ser queimado.",Portuguese
"Se um assunto não for tratado com franqueza e firmeza, torna-se um falhanço.",Portuguese
"Si vous grillez avec honte le sésame du beau-pêre, il sera brúlé.",Portuguese
"Une question, si elle n'est pas traitée avec franchise et fermeté, elle termine sans",Portuguese
solution.,Portuguese
"If you grill shamefully your father-in law's sesame, it will get burnt",Portuguese
Any problem which is not frankly and firmly dealt with cannot get a desired,Portuguese
issue.,Portuguese
"WAU UNA YE MENO, DYA VISI.",Portuguese
"Enquanto tiveres dentes, come os ossos.",Portuguese
339,Portuguese
«Malhe no ferro enquanto está quente».,Portuguese
"Quand vous avez encore les dents, cassez et mangez les os.",Portuguese
«ll faut battre le fer quand il est chaud».,Portuguese
"While you have teeth, break and eat bones,",Portuguese
«Strike the iron while it is hot».,Portuguese
"WAU UNA YE NGUDI AKU, UKIZAYIVE NTALU A KWANGA. YOVO:",Portuguese
"WAWU UNA YE MENO, DYA VISI.",Portuguese
"Enquanto viveres com a tua mãe, sabe o preço do pão da farinha de mandioca; ou:",Portuguese
"Enquanto tiveres dentes, come os ossos.",Portuguese
Um jovem deve preparar-se pela vida e não confiar sempre nos pais que breve-,Portuguese
mente ficarão velhos.,Portuguese
«Malhe no ferro enquanto está quente».,Portuguese
"Pendant que tu vis encore avec ta mêre, sache le prix de la chikwange; ou:",Portuguese
"— Quand vous avez encore les dents, cassez et mangez les os.",Portuguese
«Il faut battre Je fer quand il est chaud».,Portuguese
Un jeune doit se préparer pour la vie et ne pas compter toujours sur les parents,Portuguese
qui bientôt seront vieux.,Portuguese
«Il faut battre le fer quand il est chaud».,Portuguese
"While you're still living with your mother, know the price of cassava bread; or:",Portuguese
"— While you have teeth, break and eat bones,",Portuguese
A youth must prepare his life without relying always on his parents which have,Portuguese
to become old.,Portuguese
«Strike the iron while it is hot».,Portuguese
"WELE KUNA NA NWA KUWIDI KO DYAMBU KO, WANA ZEVO KWELE",Portuguese
KOKO.,Portuguese
"Foste ter com a boca, e não ouviste nada dela, é sinal de que não foste lá.",Portuguese
"A boca responde sempre a quem for falar com ela, ou pela palavra, que é uma das",Portuguese
"nobres funções que diferenciam o homem do animal, ou pelo silêncio, pois,",Portuguese
"segundo Alfred de Vigny, in «La mort du loup» — Littérature Expliquée):",Portuguese
"«só o silencio é grande, todo o resto é fraqueza», e por outro lado, «o silêncio é",Portuguese
uma virtude que nos torna agradáveis aos nossos semelhantes» (Samuel Butler).,Portuguese
"Tu es allé parler avec la bouche et tu nas rien entendu d'eile, c'est que tu ny",Portuguese
"es pas allé,",Portuguese
"La bouche répond toujours à qui va parler avec elle, ou par la parole, qui est une",Portuguese
"des fonctions nobles qui différentient Hhomme de I'animal, ou par le silence, car,",Portuguese
"selon Alfred de Vigny, (in La mort du Loup — Littérature Expliquée):«seul le",Portuguese
"silence est grand, tout le reste est faiblesse» et, d'autre part, «le silence est une",Portuguese
vertu qui nous rend agréables à nos semblables» (Samuel Butler).,Portuguese
"You went out to speak to the mouth, but heard nothing from it, that means that",Portuguese
you didn't go there.,Portuguese
"The mouth always answers to any who speaks to it, either by the word, which is",Portuguese
"one of the noble functions which differentiates the man from the animal, or by",Portuguese
"the silence, because, according to Alfred de Vigny, «only the silence is great, all",Portuguese
340,Portuguese
"the rest is weakness» (in «La mort du Loup» — Littérature Expliquée), and on the",Portuguese
"other hand, «the silence is a virtue which makes us agreeable to our fellowmen»",Portuguese
(Samuel Butler).,Portuguese
"WIKI KU NIMA KOKO, MUNTU NKAKA UVENDA WO.",Portuguese
O mel atrás da sua palma de mão não pode ser lambido senão por uma outra pessoa.,Portuguese
"O mel atrás da sua palma representa teus familiares: por exemple filhas, irmãs,",Portuguese
sobrinhos e outras pessoas com que toda união marital é proibida pela natureza,Portuguese
efou pela lei como sendo incestuosa.,Portuguese
"Este provérbio consagra por conseguinte a prática da exogamia que, ao contrário",Portuguese
"da endogamia, autoriza o casamento somente fora do clã, e evita assim o incesto",Portuguese
que se define pelas relações sexuais entre pessoas da mesma família ou clã.,Portuguese
«Somente uma outra pessoa pode te roçar nas costas» (Prov. Africano). O antí-,Portuguese
"doto contra a tendência mórbida ao incesto, à endogamia ou à pedofilia, reside na",Portuguese
exuberância da natureza em espécies humanas cujas forças atractivas unam mais,Portuguese
"que as forces repulsivas, e proporcionam mais soluções do que problemas à exo-",Portuguese
"gamia, onde cada um estiver.",Portuguese
Le miel derriêre la paume de la main ne peut être léché que par une autre personne.,Portuguese
Le miel derriêre la palme de la main représente tous les membrres-de familles,Portuguese
avec lesquels toute union maritale est interdite par la nature et/ou par la loi,Portuguese
comme étant incestueuse.,Portuguese
"Ce proverbe consacre pr conséguent la pratique de I'exogamie qui, contrairement",Portuguese
"à 'endogamie, autorise le mariage uniquement en dehors du clan, et évite ainsi",Portuguese
Vinceste qui est la pratique des relations sexuelles entre des personnes de la,Portuguese
même famille ou clan.,Portuguese
«Seulement une autre personne peut te gratter au dos» (Prov. africain». L'anti-,Portuguese
"dote contre la tendence morbide à Yinceste, à I'endogamie ou à pédophilie, réside",Portuguese
dans l'exubérance de la nature en espêces humaines dont les forces attratives,Portuguese
"unissent plus que lesforces répulsives, et constituent plus de solutions que de pro-",Portuguese
blêmes à I'exogamie à chacun lá oú il se rencontre.,Portuguese
The honey behind the palm of hand can be licked only by another person.,Portuguese
The honey behind the palm of hand stands for all members of the same family,Portuguese
with which all marriage is proibited by nature and/or by law as being incestuous,Portuguese
"This saying is consequently the consecration of the exogamy which, contrary to",Portuguese
"the endogamy, is the custom of marrying only outside the clan, and prohibits the",Portuguese
incest which is the practice of sexual relations between persons of the same fami-,Portuguese
