description,language
EDYA LUKU LWA NSAKL IBÃK'ELAKA.,Portuguese
Comer a farinha de mandioca com as folhas de mandioca obriga a arranhar a,Portuguese
garganta.,Portuguese
As folhas de mandioca eram consideradas outrora como um dos mais pobres ali-,Portuguese
"mentos, e quem tivesse só essas para satisfazer a sua fome, devia se arranhar a",Portuguese
garganta.,Portuguese
"Esta máxima é utilizada, quando alguém está confrontado com uma situação difi-",Portuguese
cil em que é obrigado a dizer toda a verdade e só a verdade.,Portuguese
Manger la farine de manioc avec les feuilles de manioc oblige à se racler la gorge.,Portuguese
Les feuilles de manioc étaient considérées jadis comme un des plus pauvres ali-,Portuguese
"ments, et celui qui n'aurait que cela pour satisfaire sa faim devait se racler la gorge.",Portuguese
Cette maxime est utilisée quand une personne est confrontée avec un cas d'infor-,Portuguese
"tune qui 'oblige à dire toute la vérité, et rien que toute la vérité.",Portuguese
To eat cassava with its leaves is a situation which obliges to clear one's throat.,Portuguese
The cassava's leaves were considered in the olden times as one of the poorest ali-,Portuguese
"ments, and who had to satisfy his hunger only with them, should clear his throat",Portuguese
afterwards.,Portuguese
The saying is used when someone is confronted with a difficult situation which,Portuguese
"obliges him to say all the truth, only the truth about it.",Portuguese
E FOMO (FUMU) NKADI MU TEKA YO YANGALALA.,Portuguese
"Para vender o tabaco amargo, deve-se ser alegre.",Portuguese
As más qualidades das coisas devem ser compensadas pelas qualidades morais ou,Portuguese
pelo caracter jovial do possuidor ou vendedor.,Portuguese
«Se não sabe sorrir não abra uma loja».,Portuguese
"Pour vendre du tabac amer, il faut être joyeux.",Portuguese
Les mauvaises qualités des choses doivent être compensées par les qualités mora-,Portuguese
les ou par le caractêre joyeux du possesseur ou vendeurr.,Portuguese
"«Si tu ne sais pas sourire, n'ouvre pas un magasin».",Portuguese
"To sell bitter tobacco, one must be joyful.",Portuguese
The bad qualities of things must be compensated by the moral qualities or the,Portuguese
joyful character of the owner ou sellor.,Portuguese
"«If you cannot smile, don't open a shop».",Portuguese
"E KANDA KANDA, KU VONDI LONGO LWAME KO.",Portuguese
"E LONGO LONGO KU VONDI UNGUDI WAME KO, YOVO:",Portuguese
"E UNGUDI UNGUDI, KU VOBNDI KO",Portuguese
