description,language
K,Portuguese
KALA N'KAMBAKANI VA KATI KW'AMBUTA YE ALEKE.,Portuguese
Sê um traço de união entre os mais velhos e os mais novos.,Portuguese
«Quem é chefe seja uma ponte» (Th. Fuller).,Portuguese
"«Olha para quem está acima de ti como teu paí, e para quem está abaixo de ti",Portuguese
como teu filho» (Prov. Persa — R.Sha).,Portuguese
Sois un trait d'union entre les plus vieux et les plus jeunes.,Portuguese
«Qui est chef soit le pont» (Th.Fuller).,Portuguese
"«Regarde celui qui est au-dessus de toi comme ton pêre, et celui qui est au-des-",Portuguese
sous de toi comme ton fils» (Prov.persan — R.Sha).,Portuguese
Be a link between the old men and the young men.,Portuguese
«He who chief be a bridge» (Th.Fuller).,Portuguese
"«Look at that which is upon you as your father, and at that which is under you as",Portuguese
your son» (Persan prov.).,Portuguese
KALA NZENZE WAKITENDELA NGEYE MOSI.,Portuguese
Seja um grilo para estridular por si mesmo.,Portuguese
Diz-se de alguém que deve falar por si próprio para defender o seu problema.,Portuguese
Sois un cri-cri pour crier toi-même.,Portuguese
Se dit de quelqu'un qui doit parler soi-même pour défendre son problême.,Portuguese
Be a cricket to stridulate yourself.,Portuguese
Said of someone who must speak by himself to defend his case.,Portuguese
KALA YE NTONA ZITOBULANGA YAKA.,Portuguese
Tenha ideias que furam as paredes.,Portuguese
Isso quer dizer: «ser perspicaz».,Portuguese
Ayez des idées qui percent les murs.,Portuguese
Ceci revient à dire: «être perspicace.»,Portuguese
Have ideas that pierce the walls.,Portuguese
That is to say: «to be shrewd or perspicacious.»,Portuguese
"KALUKUMBI MBULU MU NTINU KO, AY ANLENDE KAN'AVUTUKA KO.",Portuguese
"Não admirem a rapidez do lobo, pois os que foram persegui-lo ainda não voltaram.",Portuguese
"Antes de dar prova do facto, um pretensioso a um título é apenas «um rei de",Portuguese
"nome e não de facto», pois, só a prova confirma o mérito e destrói a presunção.",Portuguese
«Ninguém cante vitória antes da batalha».,Portuguese
"N'admirez pas la rapidité du loup, car ceux qui sont allés à sa poursuite ne",Portuguese
sont pas encore de retour.,Portuguese
"Pour toute compétition, avant que de donner la preuve de la réalité, un préten-",Portuguese
"dant à un titre est à peine «un roi de nom et non de fait», car c'est la preuve qui",Portuguese
confirme le mérite et détruit la prétention.,Portuguese
73,Portuguese
«ll ne faut pas vendre la peau de I'ours qu'on ne Vait mis par terre» (La Fontaine).,Portuguese
"Don't admire the fox'swiftness, because those who are in pursuit of it are not",Portuguese
back yet.,Portuguese
"Before a positive proof is given, a pretender to a title is still «a king of name",Portuguese
rather than in fact» for only proof confirms a merit and destroys a pretention.,Portuguese
«Don't count your chickens before they are hatched».,Portuguese
KALUNGA YOLELA MU NTETO.,Portuguese
"No mar, banha-se só na margem.",Portuguese
Este provérbio aplica-se à familiaridade que se deve evitar,Portuguese
com as sumidades políticas ou financeiras.,Portuguese
«Fala do mar mas fica na terra»,Portuguese
«A prudência ultrapassa as outras virtudes como a vista ultrapassa os outros sen-,Portuguese
tidos» (Bion de Boristhêne).,Portuguese
«Mais vale um pequeno fogo que aquece que um grande fogo que queima» (pro-,Portuguese
vérbio escocês).,Portuguese
"A la mer, on ne se baigne qu'en marge.",Portuguese
Ce proverbe s'applique à la familiarité que fon doit éviter avec les sommités qui,Portuguese
sont au-dessus du pouvoir. La mer est accessible pour le bain à la marge.,Portuguese
«Parle de la mer mais reste sur la terre».,Portuguese
«La prudence surpasse les autres vertus comme la vue surpasse les,Portuguese
autres sens» (Bion de Bosthêne).,Portuguese
«Mieux vaut un petit feu qui réchauffe qu'un grand feu qui brúle»(proverbe,Portuguese
écossais).,Portuguese
"On the sea, people must swim on shore.",Portuguese
K is said of how people must praise prominent people and shun all familiarity,Portuguese
with them.,Portuguese
