description,language
"OLUNDA, OLUNDILA NZAL ANKWENO.",Portuguese
"Quem economizou para os maus dias, economizou para as necessidades dos",Portuguese
demais.,Portuguese
"«Aquele que aguarda qualquer coisa para a noite, guarda-a para o gato» (Prov.",Portuguese
Escandinavo - Rosa Sha).,Portuguese
"Celui qui a économisé pour les mauvais jours, a économisé pour les besoins",Portuguese
des autres.,Portuguese
"«Celui qui garde quelque chose pour la nuit, la garde pour le chat» (Prov. scandi-",Portuguese
nave — Rosa Sha).,Portuguese
"He who hid his provisions for the future, did it for the others” necessities.",Portuguese
"«He who keeps something for the night, keeps it for the cat» (Scandinavian prov.",Portuguese
— Rosa Sha).,Portuguese
"OMA KULENDI SOBA KO, VIBIDILA MO YOVO MENA KULENDI SOBA",Portuguese
"KO, VIBIDILA MO.",Portuguese
"O que tu não podes mudar, suporta-lo.",Portuguese
Deves «fazer das tripas coração» e submeter-te à lei da flexibilidade que se resu-,Portuguese
"ma por esta petição: «Deus, conceda-me a serenidade de aceitar as coisas que não",Portuguese
"posso mudar, a coragem de mudar as que posso, e a sabedoria de saber a diferen-",Portuguese
"ça» (Dan Millman, in «The Life you were bom to Live — The laws of Spirit: 1) the",Portuguese
"law of flexibility», pp. 325-326).",Portuguese
"Ce que tu ne peux pas changer, tu dois le supporter.",Portuguese
Tu dois «faire contre mauvaise fortune bon coeur» et te soumettre à la loi de,Portuguese
"flexibilité qui se résume par la pétition suivante: «Dieu, accorde-moi la sérénité",Portuguese
"d'accepter les choses que je ne peux pas changer, le courage de changer celles que",Portuguese
"je peux, et la sagesse de savoir la différence» (Dan Millman — in «The life you",Portuguese
"were born to live — The laws of Spirit: 1) the law of flexibility», pp. 325-326).",Portuguese
"What you cannot change, you must bear it.",Portuguese
"You must «put a bold face on it» or make the best of a bad job», and surrender your-",Portuguese
"self to the Law of Flexibility ending by the following petition: «God, grant me the",Portuguese
"serenity to accept to change the things I cannot change, the courage to change the",Portuguese
"things I can, and the wisdom to know the difference» (Dan Millman, in The Life you",Portuguese
"were bom to Live — The laws of Spirit: 1)-the law of flexibility», pp. 325-326).",Portuguese
OTAMBULA OLUKA.,Portuguese
Quem viajou tornou-se mais informado e avisado.,Portuguese
"«As viagens formam e deformam» (Dr.Thomas Kanza, in Le Congo, pays de deux",Portuguese
Évolués).,Portuguese
Qui a beaucoup voyagé est plus informé et avisé.,Portuguese
"«Les voyages forment et déforment» (Dr. Thomas Kanza, in Le Congo, Pais de",Portuguese
deux Évolués).,Portuguese
291,Portuguese
He who travelled a lot is well informed and wise.,Portuguese
"«Travels form and deform» (Dr. Thomas Kanza, in Le Congo, Pays, de deux",Portuguese
Évolués).,Portuguese
ON'O ZIZILANGA I USUNDANGA YOVO: ON'OZIZILA USUNDA.,Portuguese
Quem persevera vencerá;,Portuguese
«A perseverança tudo alcança.»,Portuguese
Celui qui persévérera vaincra.,Portuguese
«La persévérance vient à bout de tout».,Portuguese
He who will persevere will overcome.,Portuguese
«'Perseverance is the way to the victory».,Portuguese
"ON'WUTA ON'YAMBULA, ONSOPA ONKWAMINA YOVO - outra Variante:",Portuguese
