description,language
F,Portuguese
FU KIA MUNTU KA KISOBWANGWA KO NZE NLELE.,Portuguese
Não se muda o hábito de alguém como uma roupa.,Portuguese
«É mais fácil mudar o curso de um rio do que o carácter de um homem.»,Portuguese
«O lobo muda a pele mas não o vezo.»,Portuguese
On ne change pas V'habitude de quelqu'un comme un habit.,Portuguese
«ll est plus facile de changer le cours d'un fleuve que le caractêre d'un homme.»,Portuguese
"«Chassez le naturel, il revient au galop.»",Portuguese
You cannot change someone's habit as a garment.,Portuguese
«It is easier to change the course of a river than a man's habit.»,Portuguese
«What's bred in the bone will come out in the flesh.»,Portuguese
"FU KYA NKELE, KU MPUTU KIATUKA,",Portuguese
É um defeito da fábrica (origem) da espingarda. o,Portuguese
"Refere-se a um defeito congenital de alguém, difícil de ser corrigido por ser ine-",Portuguese
rente à sua própria natureza.,Portuguese
C'est un défaut d'origine du fusil.,Portuguese
"Se dit d'un défaut congénital de quelqu'un, de difficile correction, parce qu'inhé-",Portuguese
rent à sa propre nature.,Portuguese
It is a defect of the gun's origin.,Portuguese
"It is said of any congenital defect of a man, dificult to change for being inherent",Portuguese
to his own nature.,Portuguese
"FUMA DYA NZAMBA, KANA WOLESA DYO KIZOWA KYAKU, KANA",Portuguese
YUMISA DYO NGANGU ZAKU.,Portuguese
"Se deixares apodrecer a tua porção de came de elefante, isso demonstra a tua",Portuguese
"ignorância. Mas se a deixares secar, proverás a tua inteligência.",Portuguese
Este provérbio distingue a prudência da negligência na protecção dos bens e,Portuguese
"outros interesses da vida, e mostra pelos referidos exemplos que «a prudência é",Portuguese
mãe da segurança» enquanto que «a negligência é fonte de males maiores.»,Portuguese
"Si vous laissez pourrir votre morceau de viande d'éléphant, cela prouve votre",Portuguese
"ignorance. Mais si vous la faites sécher, vous montrerez que vous êtes intelligent.",Portuguese
Ce.proverbe différencie la prudence de la négligence quant à la protection des,Portuguese
"biens et autres intérêts de la vie, et montre par ces exemples que «la prudence est",Portuguese
mêre de sécurité» tandis que «la négligence est source de grands maux».,Portuguese
"If you let your elephant meat decade, you are ignorant.",Portuguese
"If you succeed to dry it, you are intelligent.",Portuguese
This saying shows the difference between awareness and negligence in managing,Portuguese
assets and other resources of life. It also proves that «safety is essential» whereas,Portuguese
«negligence causes great harm.»,Portuguese
67,Portuguese
"Ou le Tout-Puissant est supposé mort ou inexistant, !homme vivant cesse d'exis-",Portuguese
"ter aussi. C'est pouquoi, si Dieu n'existait pas, il devrait être inventé pour le bien-",Portuguese
être de 'homme et de tout ce qui existe.,Portuguese
"A supposed death of the spirit induces our death, the living ones.",Portuguese
Men without divine protection feel insecure. (R. Van Roy).,Portuguese
"Where the Most High is supposed dead or inexistent, the living man becomes",Portuguese
"inexistent also. Hence, if God did not exist, he would be invented for the well-",Portuguese
being of the man and of all that exists.,Portuguese
"FWA MFWIDI KALA, NSUDI A WOLA ITINA DIAK' E?",Portuguese
"Eu que já estou morto, vou ainda ter medo de apodrecer?",Portuguese
«A ovelha morta já não tem medo do lobo» (Prov. Turco - Rosa Sha).,Portuguese
"Feito o mal, assume-se as consequências, venha o que vier.",Portuguese
"«O que não tem remédio, remediado está».",Portuguese
"Puisque je suis déjá mort, dois-je répugner à Vidée de ma pourriture?",Portuguese
"Quand le mal est déjà fait, il faut en accepter les conséquences.",Portuguese
«Ia brebis morte n'a plus peur du loup» (Prov. Turque - Rosa Sha).,Portuguese
"«Fais ce que tu dois, advienne que pourra».",Portuguese
"«Quand le vin est tiré, il faut le boire».",Portuguese
"Being already dead, should I fear the idea of my decaying?",Portuguese
"When it is late to change the evil already done, one must accept to suffer ali the",Portuguese
consequences.,Portuguese
«A dead ewe doesn't fear the fox any more» (Turkish prov. - Rosa Sha).,Portuguese
«Come what may. It is too late to draw back now».,Portuguese
FWA NSONL MONA MPASI.,Portuguese
A timidez faz sofrer.,Portuguese
"«Quem se faz de mel, abelhas o lambem».",Portuguese
La timidité fait souffrir.,Portuguese
"«Qui se fait brebis, le loup le mange».",Portuguese
Timidity causes pain.,Portuguese
«Mugs are always fleeced».,Portuguese
69,Portuguese
