description,language
I,Portuguese
IKINA VA MOKO KILUTIDI IKINA VA LÁ.,Portuguese
Mais vale um pássaro na mão que dois a voar.,Portuguese
«Um ganho pequeno e seguro tem mais valia do que um grande e especulativo bem.,Portuguese
«Não troque a certeza contra a incerteza» (A. & R. Favel).,Portuguese
Un oiseau dans la main vaut mieux que deux dans la haie.,Portuguese
"«Un tiens vaut mieux que deux tu l'auras, I'un est sâr, Yautre ne Fest pas» (La",Portuguese
Fontaine).,Portuguese
«Un gain petit mais sir a plus de valeur qu'un bien grand et spéculatif.,Portuguese
«N'échangez pas la certitude contre l'incertitude» (A. & R. Favel),Portuguese
A bird in the hand is worth two in the bush.,Portuguese
«A small gain but assured is of greater value than a larger and speculative one.,Portuguese
«Don't trade certainty for uncertainty.» (A. & R. Favel),Portuguese
IKIVONDANGA DISU KA KIKALANGA KIA NENE KO.,Portuguese
O que danifica o olho não é necessariamente grande coisa.,Portuguese
«Não existem pequenos inimigos» (Pierre Gringore).,Portuguese
«OQ que traz a desgraça não é grande» (G. T. Zona).,Portuguese
Ce qui endommage Voeil n'est pas nécessairement une grande chose.,Portuguese
«Il n'est nuls petits ennemis» (Pierre Gringore).,Portuguese
«Ce qui amêne le malheur n'est pas grand» (G. T. Zona).,Portuguese
What injures the eye isn't necessarily a great thing.,Portuguese
«There are no small enemies» (Pierre Gringore).,Portuguese
«That which brings misfortune is not big» (G. T. Zona).,Portuguese
"IMBWENE WAME, IKIMWENE KO MPE WAME.",Portuguese
"Yovo: OYO MBWENE WAME, OYO KIMWENE KO MPE WAME.",Portuguese
"Quem vi hoje para me confortar é meu, e quem não vi é também meu.",Portuguese
Os presentes de hoje podem ser os ausentes de amanhã e os ausentes de hoje,Portuguese
podem ser os presentes de amanhã.,Portuguese
"celui que j'ai vu aujourd'hui pour me réconforter est des miens, et celui que je",Portuguese
n'ai pas vu est aussi le mien.,Portuguese
"«Les présents d'aujourd'hui peuvent être les absents de demain, et les absents",Portuguese
d'aujourd'hui peuvent être les présents de demain».,Portuguese
"He who as comes today to comfort me is one of mine, he whom I didn't see is",Portuguese
also mine.,Portuguese
"«The present of today may be the absent of the tomorrow, and the absent of",Portuguese
today may be the present of tomorrow».,Portuguese
a,Portuguese
IVITIDI KU NKOKO KATEKANGA MVUNZU KO.,Portuguese
"Yovo: OY'OVITIDI KU NKOKO, KATEKANGA MVUNZU KO.",Portuguese
Quem chega primeiro ao rio não bebe água turva.,Portuguese
Os direitos de prioridade favorecem quem preceder em qualquer situação.,Portuguese
Qui arrive le premier à la riviêre ne puise pas de I'eau trouble.,Portuguese
Les droits de priorité favorisent celui qui précêde dans une situation quelconque.,Portuguese
He who arrives first to the spring doesn't drink the troubled water.,Portuguese
A person placed in a first position is favoured by the right of priority.,Portuguese
"IVWIDI NKUMBI ANDI MADIOKO KADILA YO, NGEYE VO LUKU",Portuguese
KAK' E?,Portuguese
"O dono da caçada quer comê-la com mandioca, porquê queres que seja só com",Portuguese
a farinha de mandioca?,Portuguese
O dono é o único a decidir do uso do que lhe pertence.,Portuguese
"Le propriétaire du produit de la chasse veut le manger avec du manioc, et vous",Portuguese
voulez qu'il soit mangé seulement avec de la farine de manioc?,Portuguese
Au propriétaire appartient la décision de faire ce qu'il veut de ce qui lui appar-,Portuguese
tient. o,Portuguese
The game's hunter wants to eat it with raw cassava; why do you want to eat it,Portuguese
only with cassava flour ?,Portuguese
The owner has the right to decide to do what he or she chooses to do of his/her,Portuguese
property.,Portuguese
IZOLANGA MBW'AME KAKALANGA VA NTANDU KA MUNSIKO.,Portuguese
"Num combate, gosto de ver o meu cão sempre em cima e não em baixo do seu",Portuguese
inimigo.,Portuguese
"«A luta dá ao triunfo o sabor da paixão, e a vitória embeleza a conquista.» (George",Portuguese
Meredith).,Portuguese
"Dans une compétition, jaime voir mon chien toujours au-dessus et non au-",Portuguese
dessous de son ennemi.,Portuguese
"«La lutte donne au triomphe la saveur de la passion, et la victoire embellit la con-",Portuguese
quête.» (George Meredith).,Portuguese
"In any combate, I do like to see my dog always on the top but not below its",Portuguese
enemy.,Portuguese
"«The struggle gives to the triumph the flavour of passion, and the victory embell-",Portuguese
ishes the conquest.» (George Meredith).,Portuguese
72,Portuguese
