description,language
LAKWA NTETE VUNINA NKATA.,Portuguese
Quem não consegue levar uma carga acusa a almofadinha.,Portuguese
«Um mau trabalhador acusa as suas ferramentas».,Portuguese
"Ora. «quem se queixa, alhos come».",Portuguese
Qui est incapable de transporter un fardeau accuse le coussinet.,Portuguese
"«Un mauvais ouvrier accuse ses outils», d'oú «qui s'excuse s'accuse».",Portuguese
He who is unable to carry a burden finds fault with the pad.,Portuguese
"«A bad workman blames his tools», hence «he who excuses himself",Portuguese
accuses himself».,Portuguese
"LAMBILA MAZI, MAZA FUKI Yovo: LAMBILA MAZI, MWAMBA FUKI.",Portuguese
Cozinha com óleo e não com água (ou mwamba = manteiga de amendoim) que,Portuguese
demora muito tempo para cozer.,Portuguese
Este provérbio é utilizado para pressionar a realização de um compromisso da,Portuguese
parte do pedinte após acordo dado pela parte solicitada.,Portuguese
"Il faut faire cuire avec de ""huile et non avec de I'eau ou la sauce de la mwamba",Portuguese
"des arachides, qui font durer la cuisson.",Portuguese
Ce proverbe est utilisé pour faire pression pour la conclusion d'un compromis de,Portuguese
la part de la partie demanderesse aprês I'accord donné par la partie sollicitée.,Portuguese
"You must cook with oil and not with water or sauce of the peanuts, which lasts",Portuguese
too more.,Portuguese
"After the conclusion of an agreement (betrothal), this proverb is used to ask to",Portuguese
the other part to urge the realization of the event (wedding).,Portuguese
LAWU KYA NZENZA MU NKUNGA KAKOTILANGA MU VATA.,Portuguese
É por canção que um maluco estranho entra numa aldeia alheia.,Portuguese
"O provérbio mostra que a canção pode, pelo seu efeito suave, ocultar ou aliviar a",Portuguese
"dor, abrandar ou amolecer os corações e entreter os homens pelo bálsamo da sua-",Portuguese
"vidade, tornando-os benevolentes uns para com os outros, mesmo para com os",Portuguese
desconhecidos.,Portuguese
"«Quem canta, encanta os seus males» (Cervantes - Dom Quichote).",Portuguese
"Também, «o que não vale a pena de ser dito, canta-se» (Pierre Augustin Caron de",Portuguese
Beaumarchais).,Portuguese
C'est par un chant qu'un fou étranger entre dans un autre village.,Portuguese
"Ce proverbe montre que le chant peut, par son effet suave, occulter ou soulager",Portuguese
"la peine, adoucir les coeurs, lenifier les esprits et divertir les hommes par le",Portuguese
"baume de la suavité, les rendant bienveillants les uns envers les autres, même",Portuguese
envers des inconnus.,Portuguese
"«Qui chante, enchante ses maux» (Cervantes - Don Quichote).",Portuguese
153,Portuguese
"Et aussi, «ce qui ne vaut pas la peine d'être dit, on le chante». (Pierre Augustin",Portuguese
Caron de Beaumarchais).,Portuguese
Jt is with a song that a strange madman enters an other village.,Portuguese
"This saying shows that a song can, through its suaveness, hide or assuage a pain,",Portuguese
"sweeten the hearts, lenify the minds and through the balsam of this suaveness",Portuguese
"divert persons who become benevolent to each another, even towards unknown",Portuguese
ones.,Portuguese
"«He who sings, enchants his pains» (Cervantes — Don Quichote).",Portuguese
"Hence, «what is not worth to be said, must be sung» (P.A.C. de Beaumarchais».",Portuguese
LEMVOKELA NA KONGO KA WAYI KO Yovo: LEMVOKELA KIMFUMU,Portuguese
"KA WAYIKO,",Portuguese
Obedecer a autoridade não é tornar-se escravo.,Portuguese
«Obedece se quiseres ser obedecido um dia» (Voltaire).,Portuguese
«Quem obedece é sempre superior a quem manda».,Portuguese
Obéir à I'autorité ce n'est pas devenir esclave,Portuguese
"«Obéis, si tu veux qu'on t'obéisse un jour» (Voltaire);",Portuguese
«Celui qui obéit est toujours supérieur à celui qui commande».,Portuguese
Obedience to the authority is not slavery.,Portuguese
«Obey if you want to be obeyed someday» (Voltaire);,Portuguese
«He who obeys is always superior to whom who commands him».,Portuguese
"LEMVO WA NKENTO DIKILA, VO KUNDÍKIDI KO USISIDI.",Portuguese
"A obediência de uma mulher depende do seu mantimento pelo marido, de",Portuguese
"contrário, ela o abandona.",Portuguese
A união de um homem e de uma mulher é um contrato de vantagens recíprocas,Portuguese
consubstanciadas em «dar e receber».,Portuguese
Lobéissance d'une femme dépend d'un bon entretien de la part du mari; dans,Portuguese
"le cas contraire, elle I'abandonne.",Portuguese
Vunion d'un homme avec une femme est un contrat d'avantages réciproques qui,Portuguese
consistent à «donner et à recevoir».,Portuguese
The wife's obedience depends on the good assistance from the husband; other-,Portuguese
"wise, she leaves him.",Portuguese
The union of a man and a woman is based on mutual advantages which consist,Portuguese
in «giving and receiving».,Portuguese
LEMV'OWINGI TWIKILWA (TWIKWA) MATADI Yovo: LEMV'OWINGI,Portuguese
NATISWA MATADI.,Portuguese
Ser um bonacheirão leva a ser carregado de pedras.,Portuguese
"«Quem se faz mel, abelhas o lambem».",Portuguese
Qui se montre bonasse se voit chargé des pierres.,Portuguese
«Qui se fait brebis le loup le mange».,Portuguese
To be a weak-willed or a too easy-going is to be loaded of stones.,Portuguese
«Mugs are always fleeced».,Portuguese
154,Portuguese
"LENDA KAYILA MUNTU KONDA KWA KUNZOLA, KANSI KULENDI ZOLA",Portuguese
MUNTU KO KONDA KWA KUNVANA NTIM'AKU KO.,Portuguese
"Podes dar uma coisa a alguém sem o amar, mas não podes amar alguém sem",Portuguese
lhe ofertar algo.,Portuguese
