description,language
TADI DIMOSI DILENDA VONDA NUNI ZOLE.,Portuguese
Uma pedra pode matar duas aves.,Portuguese
É o mesmo que «matar dois coelhos de uma cajadada».,Portuguese
"Une pierre peut tuer deux oiseaux,",Portuguese
C'est le même que «faire d'une pierre deux coups».,Portuguese
One stone can kill two birds at once.,Portuguese
It's the same as «to kill two birds with one stone,Portuguese
TÁ DYE NTETEI TÁ.,Portuguese
O primeiro golpe conta mais do que todos os restantes.,Portuguese
"«Dá o primeiro golpe, ele será tanto forte como dois».",Portuguese
Le premier coup vaut plus que tous les autres.,Portuguese
"«Donnez le premier coup, il paraitra aussi fort que deux».",Portuguese
The first blow hurts more than all others.,Portuguese
"«Strike the first blow, it's as good as two».",Portuguese
"TADI YE TADI KATUNGANGA NZO KO,",Portuguese
Pedra com pedra não constrói uma casa.,Portuguese
«Duro com o duro não faz bom muro».,Portuguese
Pierre sur pierre ne construisent pas une maison.,Portuguese
«Fin contre fin ne vaut rien pour doublure».,Portuguese
Stone on stone cannot build a house.,Portuguese
Two difficult persons cannot do a good work.,Portuguese
"TAFUNA KUVITANGA, MINA IBOSI.",Portuguese
"Masticar vem primeiro, só depois engolir.",Portuguese
A ordem natural das coisas é vital na vida e deve ser respeitada.,Portuguese
"Mãcher en premier lieu, et avaler en second lieu.",Portuguese
Lordre naturel dans la vie est vital et doit être respecté.,Portuguese
Masticate first and swallow then.,Portuguese
Natural order in life is vital and must be taken into account.,Portuguese
"TA KINGANA, BANGUNA KINGANA, KABANGU WAKOMWA",Portuguese
MUDYAMBU DYA KINGANA (KABANGULA KO).,Portuguese
"Diga um provérbio, e explique-o, pois Kabangu foi condenado por não ter con-",Portuguese
seguido traduzir o seu provérbio.,Portuguese
Cada provérbio tem um sentido e uma explicação e quando utilizá-lo deve saber,Portuguese
explicá-lo.,Portuguese
303,Portuguese
"Dites un proverbe et expliquez-le, car Kabangu était condamné pour ne pas",Portuguese
avoir su expliquer son proverbe.,Portuguese
"Chaque proverbe a un sens et une explication, et quand vous Vutilisez, vous",Portuguese
devez en savoir la signification pour I'expliquer.,Portuguese
