description,language
U,Portuguese
"UMOSI NINGA, AOLE WANTU.",Portuguese
"Uma pessoa só é uma sombra, Duas são pessoas.",Portuguese
"«Melhor é serem dois do que um, porque têm melhor paga do seu trabalho. Por-",Portuguese
"que, se um cair, o outro levanta o seu companheiro; mas ai do que estiver só,",Portuguese
"caindo, não haverá outro que o levante» (Ecc 4:9:9-10).",Portuguese
"Une seule personne est une ombre, deux sont des personnes.",Portuguese
"«Deux valent mieux qu'un, parce qu'ils retirent un bon salaire de leur travail.",Portuguese
"Car, s'ils tombent, I'un relêve son compagnon, mais malheur à celui qui est seul",Portuguese
et qui tombe sans avoir un second pour le relever» (Ecc. 4:9-10).,Portuguese
"A one man is a shadow. Two are people,",Portuguese
«Two are better than one; because they have a good reward for their labour. For,Portuguese
"if they fall, the one will lift up his fellow, but woe to him that is alone when he",Portuguese
falls; for he has not another to help him up» (Ecc. 4:9-10).,Portuguese
UMPUTU KAKIMBEVO KO.,Portuguese
Pobreza não é uma doença.,Portuguese
«Ferida de dinheiro não é mortal» e «Pobreza não é vileza».,Portuguese
Pauvreté n'est pas une maladie.,Portuguese
«Plaie d'argent n'est pas mortelle» et «Pauvreté n'est pas vice».,Portuguese
Poverty is not an illness,Portuguese
«Money's wound is not mortal» and: «There is no shame to be poor».,Portuguese
UMPUTU WAYINGI YELA NKANU.,Portuguese
Muita pobreza faz perder o processo.,Portuguese
A justiça sem a força é imponente; a força sem a justiça é tirânica» (Prov. fran-,Portuguese
cês). Fala do dinheiro e cada um cala-se» (Prov. alemão).,Portuguese
Trop de pauvreté fait perdre une cause.,Portuguese
«La justice sans force est impuissante; et la force sans la justice est tyrannique»,Portuguese
(prov. français.). Parlez de argent et chacun se tait» (Prov. allemand).,Portuguese
Much poorness makes lose a cause.,Portuguese
«Justice without force is powerless; and the force without justice is tyrannical»,Portuguese
(French proverb).,Portuguese
Speak of money and everybody will be silent» (German Proverb).,Portuguese
"UNDENDE N'DIMBA VWE, MYONGO VWE, MINI VWE, MPIPA",Portuguese
"VWE,NGEYE VO: «AVO YABAKA KANI KIVANGI DYAMBU KO».",Portuguese
LUVUNU! WANA NKI KIVANGIDI MPASI MAKUMOLE YE NSAMBWADI,Portuguese
MUKUNGINGA NDAMBU ZAWONSO?,Portuguese
