description,language
V,Portuguese
"VA KATUKIDI DINU, E LULAKA SE LUTILA VANA.",Portuguese
"Onde saiu um dente, a língua passa e volta a passar",Portuguese
"«Quem tem mazela, tudo lhe dá nela». «Onde há dor, aí pomos o dedo».",Portuguese
"Ou est sortie une dent, la langue passe et repasse.",Portuguese
"«On se heurte toujours ou Ion a mal». «Oú il fait mal, le doigt y passe et repasse».",Portuguese
Where a toath is out the tongue slides constantly.,Portuguese
An unhappy man has always something which heurts him on a sore place.,Portuguese
«Everything goes to him who does not want it».,Portuguese
"VALANKUKUTU UTA YANGA, MBAMBI UTA TETA, KUNA MFUMU VATA",Portuguese
BAKIDI NGANDU LONGA DYAKATUMINI KO KATWIKILA TINI KYE,Portuguese
NGANDU. NGA MBIZI ZA MABABALA ZAWONSO NGEYE ZATOMENA?,Portuguese
"Estás a secar um lagarto, a esfolar um jacaré, e acabas de pedir ao chefe da aldeia",Portuguese
que matou um crocodilo de te mandar a tua parte de came. Será que todos os,Portuguese
animais escamosos são feitos só por ti?,Portuguese
"Este provérbio censura o homem açambarcador, ávido e cúpido, possuído pela",Portuguese
"ambição insaciável e devoradora de tudo provar e possuir, considerando-se o cen-",Portuguese
"tro de todas as atenções. «Quanto mais se tem, mais se cobiça», daí torna-se neces-",Portuguese
sário de «apagar a desmesura mais do que um incêndio» (Héraclite d'Ephêse).,Portuguese
"Vous êtes en train de faire sécher un lézard, de dépecer un jacaré, et vous venez de",Portuguese
"demander au chef du village qui vient de tuer un caiman, de vous envoyer votre",Portuguese
part. Pensez-vous que tous les animaux écailleux existent seulement pour vous?,Portuguese
"Ce proverbe est une censure contre lhomme accapareur, avide et cupide, possédé",Portuguese
"par une ambition insatiable et dévorante de tout goúter et posséder, en se consi-",Portuguese
"dérant comme le centre de toutes les attentions. «Plus on a, plus on convoite;",Portuguese
doi: «il faut éteindre la démesure plus qu'un incendie» (Héraclite d'Ephêse).,Portuguese
"You are drying a lizard, and skinning a jacaré. Meanwhile you have just asked",Portuguese
to the chief of the village who has killed a crocodile to send you your part. Do,Portuguese
you mean that ali the scaled animals are created only for you?,Portuguese
"This saying censures the greedy and grasping man, possessed by an insatiable and",Portuguese
"devouring ambition of proving and possessing everything, meaning to be the cen-",Portuguese
"tre of all attentions. «He who has more, covets more», hence: «it is more neces-",Portuguese
sary to extinguish the excessiveness than a fire» (Heraclite of Ephesus).,Portuguese
VAMBALA KYA MBANZA MBUTA UBWANGA KYO.,Portuguese
A cambalhota da cidade convém ao mais velho.,Portuguese
As cambalhotas representam dificuldades que só um mais velho pode aguentar,Portuguese
por ser aguerrido às vicissitudes da vida.,Portuguese
Les culbutes de la cites conviennent au vieux.,Portuguese
Les culbutes sont des difficultés que seulement un vieux peut supporter pour être,Portuguese
aguerri aux vicissitudes de la vie.,Portuguese
323,Portuguese
The somersault of the city can be endured by the old man.,Portuguese
The somersaults are difficulties that an old man can surmount because he is hard-,Portuguese
ened to the ups and downs of life.,Portuguese
VANA VAKALANGA DYA IVARALANGA MOKO.,Portuguese
"Onde há comida, há também conversa.",Portuguese
"«Pode haver conversa sem comida, mas há sempre comida com conversa». As comi-",Portuguese
das e bebidas atiçam sempre a conversa sobre os problemas de interesse comum.,Portuguese
La conversation vá de pair avec le manger et le boire.,Portuguese
"peut y avoir une conversation sans nourriture, mais il y a toujours une conver-",Portuguese
sation avec la nouirriture. Le manger et le boire atisent toujours la conversation,Portuguese
sur les problêmes d'intérêt commun.,Portuguese
Where there is eating and drinking there is talk also.,Portuguese
"You may have a talk without eating, but you cannot eat and drink with someone",Portuguese
without talking. Eating and drinking stir up the pleasure of talking about the,Portuguese
commun interest.,Portuguese
VANA TUVOVELA MAMBU KAVAKADI BUNDU YE NIKU KO.,Portuguese
"Onde vamos tratar do assunto, não deve haver contendas ou brigas. --",Portuguese
"«Em tudo, nobreza obriga».",Portuguese
"Oú nous allons discuter du problême, il ne doit pas y avoir querelles ou luttes.",Portuguese
"«En tout, noblesse oblige».",Portuguese
"Where people will deal with an important matter, there must be no altercation",Portuguese
or threat.,Portuguese
"«In everything, nobleness obliges».",Portuguese
"VANA TWADILE WIKI, VA TWASIS'E NKUTU A NGANGU.",Portuguese
Onde comemos o mel é ali onde deixámos o bolso da sabedoria.,Portuguese
Ás veves e no momento de usufruirmos de um grande prazer que descuidamos,Portuguese
dos sábios princípios da vida e adoptamos soluções eradas.,Portuguese
