description,language
Y,Portuguese
YAMBULA VANGA MBL KITUKA MUNTU WAMBOTE WAWU UNA YE,Portuguese
"NTANGU, KADI KUZEYE KO OMA MAKUVINGILA KUNTWALA.",Portuguese
Desiste de fazer o mal e torna-te num homem de bem enquanto ainda tens,Portuguese
"tempo, pois não sabes o que te espera para a frente.",Portuguese
«Não procedas como se tivesses de viver dez mil anos. O inevitável está suspenso,Portuguese
"sobre ti. Enquanto viveres e quando te for possível, torna-te num homem de",Portuguese
bem» (Marco Aurélio).,Portuguese
«Muitos santos são pessoas convertidas».,Portuguese
"Renonce au mal et deviens un homme de bien, lorsque tu as encore le temps,",Portuguese
car tu ne sais pas ce qui t'attend.,Portuguese
«N'agis pas comme si tu devais vivre des milliers d'années. La mort est suspendue,Portuguese
"sur toi. Tant que tu jouis de la vie, efforce-toi de devenir homme de bien»(Marc",Portuguese
Aurêle).,Portuguese
«Beaucoup de saints sont des personnes converties».,Portuguese
"Desist from doing the evil and become a good man, while you súll have time,",Portuguese
because you don't know what is ahead.,Portuguese
«Do not act as you were going to live ten thousand years. Death hangs over you.,Portuguese
"While you live, and while it is in your power, be good» (Marcus Aurelius).",Portuguese
«Many saints are converted men».,Portuguese
"YANDI NDYOY'ODYANGA YANDI IKUZENG'ENDYA,",Portuguese
Quem come contigo é quem vai te envenenar.,Portuguese
"«O que mete comigo a mão no prato, esse me há-de trair» (S.Mat.: 26:23)",Portuguese
C'est celui qui mange avec toi qui va t'empoisonner.,Portuguese
"«Celui qui a mis avec moi la main dans le plat, c'est lui qui me livrera»",Portuguese
(St.Mat.:26:23).,Portuguese
It is he who eats with you that will kill you.,Portuguese
«The one who has dipped his hand into the bowl with me will betray me»,Portuguese
(St.Matt.26:23).,Portuguese
YANGALALA WALEMBA NUNA.,Portuguese
Esteja alegre para não envelhecer.,Portuguese
Esta afirmação categórica é uma importante sugestão consistindo em prolongar a,Portuguese
"juventude e em recuar a velhice na mente de quem aceita esta sugestão, baseada",Portuguese
"na convicção de que «como pensa o homem na seu coração, assim ele é» segun-",Portuguese
"do a Bíblia (Provérbios 23:7), parafrascada por Dr. Joseph Murphy nos seguintes",Portuguese
termos: «Você é jovem quanto pensa que é. Tão forte quanto se julga. Tão útil,Portuguese
quanto tem certeza de que é. E tão jovem quanto seus pensamentos» (The Power,Portuguese
"of your Subconscious mind). A alegria prolonga a vida, pois, como o amor, a paz",Portuguese
"interna, a paciência, o riso, ela não envelhece, mas transforma a velhice, quando",Portuguese
"esta chega à maturidade, numa perspectiva serena e contemplativa do amanhã.",Portuguese
345,Portuguese
Sois allêgre afin que tu ne vieillisses pas.,Portuguese
Cette affirmation catégorique est une importante suggestion qui consiste à pro-,Portuguese
longer la jeunesse et à reculer la vieillesse dans,Portuguese
Vesprit de celui qui accepte cette suggestion basée sur la conviction dictée par la,Portuguese
"Bible:«comme tu as imaginé dans ton coeur, ainsi tu es» (Prov.23:7) et paraphra-",Portuguese
sée par Dr. Joseph Murphy en ces termes: «Tu és aussi jeune que tu te crois. Aussi,Portuguese
fort que tu te juges. Aussi utile que sont tes pensées» (The power of your subcons-,Portuguese
"cious mind). La joie prolonge la vie, car, comme l'amout, la patience interne, le",Portuguese
"rire ou humour, elle ne vieillit pas mais transforme la vieillesse, quand elle arrive",Portuguese
"à son échéance, en une perspective sereine et contemplative du lendemain.",Portuguese
Be joyful in order not to grow old.,Portuguese
This categorical affirmation is an important suggestion susceptible to prolong the,Portuguese
web of juvenility and to delay the old age in the mind of that who accepts this,Portuguese
"suggestion grounded in the conviction that «as a man thinks in his heart, so is",Portuguese
"he», accordingly to the Proverbs 23:7, paraphrased by Dr.Joseph Murphy in the",Portuguese
following terms: «You are as young as you think you are. You are as strong as,Portuguese
you think you are.You are as useful as you think you are. You are as young as,Portuguese
"your thoughts» (The power of your subconscious mind). Joy prolongs life, for as",Portuguese
"love, inner patience, laughter ou humour, it does not grow old but transforms",Portuguese
oldness in a serene and contemplative expectancy of tomorrow. o,Portuguese
"YANTIKA KAKUBADIDI KO, FOKOLA KUBADIDI.",Portuguese
"Não basta bem começar, basta, sim, bem acabar.",Portuguese
«Melhor é o fim das coisas do que o princípio delas» (Eccl.7:9). «Tudo é bom,Portuguese
quando acaba em bem».,Portuguese
"Il ne suffit pas de commencer, Il suffit de bien finir.",Portuguese
«Mieux vaut la fin d'une chose que son commencement» (Eccl.7:8). Tout est,Portuguese
biem qui finit bien».,Portuguese
It is not more important to begin than to end one thing.,Portuguese
«Better is the end of a thing than the beginning thereof» (Eccl.7:8). «All is good,Portuguese
that ends well».,Portuguese
"YAZINGA NKI NDIA, YA FWA NKI NSISA — TOVO (Variante): NZINGA NKI",Portuguese
NDIA MEWA NKI NSISA.,Portuguese
Se eu viver que comer? Se eu morrer que deixar?,Portuguese
A vida impõe-nos dois deveres: uma de trabalhar para viver e um outro também,Portuguese
"de trabalhar para deixar viver depois de nós, mesmo se soubermos que dentro de",Portuguese
pouco tempo morreremos. Sobre a preocupação do que havemos de deixar,Portuguese
"depois de nós, Martin Luther deu-nos uma estimulante motivação que deriva da",Portuguese
sua convição de acção assim resumida: «Mesmo se eu crer que Jesus volta ama-,Portuguese
"nhã, plantarei ainda a minha macieira hoje».",Portuguese
"Si je dois vivre, que mangerai-je? Si je dois mourir, que laisserai-je?",Portuguese
"La vie nous impose deux devoirs: celui de travailler pour vivre, et celui de travail-",Portuguese
"ler aussi mais pour laisser vivre aprês nous, même en sachant que, en si peu de",Portuguese
"temps, nous mourrons. A cet eifet, Martin Luther nous a laissé une estimulante",Portuguese
346,Portuguese
motivation dérivée de sa conviction d'action résumée comme suit: «Même si je,Portuguese
"crois que Jésus revient demain, je planterai encore mon pommier aujourd'hui».",Portuguese
If Ii must live what to eat? If I must die what to leave?,Portuguese
Life imposes two charges upon us: «to live and let live».,Portuguese
To let live implies our action in two periods of life: during our life-time and in the,Portuguese
"future, after we have gone. Martin Luther left us this estimulating motivation",Portuguese
derived from his conviction of action epitomized as following: «Even if I know,Portuguese
"that Jesus is coming back tomorrow, I will sow my apple-tree still to-day»",Portuguese
YELA VUMBU DYA NWA IZAYA ZENZA KAWA MENGA YE MAFINA.,Portuguese
"Sofrer de um abcesso na boca, é saber o sabor do sangue e do pus.",Portuguese
O provérbio indica que quem já sofreu conhece o valor do sofrimento dos outros,Portuguese
"e pode ajudá-los. Daí, «só quem já chorou pode limpar as lágrimas de um outro».",Portuguese
"«Experiente da desgraça, aprendo a socorrer os infelizes» (Eneida, liv.i.v.).",Portuguese
"Souffrir d'un abcês dans la bouche, c'est savoir le goút du sang et du pus.",Portuguese
