description,language
Z,Portuguese
ZALUNGA IBOSI ZIVOVA.,Portuguese
Os instrumentos devem estar completos para tocarem.,Portuguese
Diz-se de um conjunto musical cujos instrumentos devem estar completos antes,Portuguese
"de tocar. O provérbio refere-se, por extrapolação, a um grupo de pessoas que",Portuguese
devem estar presentes para se tomar uma importante decisão.,Portuguese
Les instruments doívent être complets pour jouer.,Portuguese
Se dir d'un ensemble musical dont les instruments doivent être complets pour,Portuguese
"jouer. Le proverbe se réfêre, par extrapolation, a un groupe de personnes qui doi-",Portuguese
vent être présentes pour la prise de uma importante décision.,Portuguese
The instruments must be complete in order to play.,Portuguese
Said of a musical team which cannot play if its instruments are not complete.,Portuguese
"This saying refers, by extrapolation, to any group of which the members must be",Portuguese
present before an important decision can be taken.,Portuguese
"ZANDU DYA TÁ NA MBWA, KWENDA MOKO NKATU, VUTUKA",Portuguese
MPEMOKO NKATU.,Portuguese
"O cão foi ao mercado com as mãos vazias, e voltou do mercado também com as",Portuguese
mãos a abanar.,Portuguese
Diz-se de alguém que sai da sua casa todo o dia e regressa à procedência talvez,Portuguese
com o ventre cheio mas sem trazer nada.,Portuguese
Le chien est allé au marché mains vides et en est revenu aussi mains vides.,Portuguese
Se dit de quelqu'un qui sort de sa maison mains vides et y rentre le soir bredouille.,Portuguese
A dog went to the market empty handed and came back empty handed too.,Portuguese
Said of someone who leaves his house empty handed and after the journey he,Portuguese
goes back home also empty handed .,Portuguese
"ZANDU KANA DIWONGELE, MPOLO (NDOSE) A KO KAYIVILANGA KO",Portuguese
"YOVO: ZANDU KANI DIWONGELE, MPOLO YOVO NDOSE A NZITU KA",Portuguese
YIVILANGA KO.,Portuguese
"Por muito cheio de gente que um mercado pode estar, a cara do sogro presente",Portuguese
nele não pode passar despercebida.,Portuguese
"Este provérbio mostra que em certas concentrações de pessoas, parentes e amigos",Portuguese
"encontram-se fortuitamente, por afinidade ou por simpatia atractiva.",Portuguese
"Un marché a beau être plein de monde, la figure du beau-pêre présent en ce",Portuguese
marché ne peut pas passer inaperçue.,Portuguese
"Ce proverbe montre que dans beacoup de concentrations de gens, il arrive que parents",Portuguese
et amis se rencontrent fortuitement par affinité ou par sympathie mutuelle et attractive.,Portuguese
"A market may be full of people, but the in-laws' face cannot escape one's notice.",Portuguese
"This saying shows that in some urban agglomerations of people, we happen to",Portuguese
"meet with our kit and kin by chance, by a kind of affinity or by attractive sympathy.",Portuguese
351,Portuguese
ZASALA TOKO Z'ANDUMBA.,Portuguese
O dinheiro ganho pelo jovem destina-se às mulheres.,Portuguese
"A propensão para extravagância do jovem homem leva-o a gastar, a contento, o",Portuguese
seu dinheiro para agradar às mulheres.,Portuguese
Largent gagné par le jeune homme est pour ses relations maritales.,Portuguese
La propension pour l'extravagance du jeune homme le porte à dépenser son,Portuguese
argent à son gré pour la satisfaction des femmes.,Portuguese
The money eamed by the young man is for the young women.,Portuguese
The propensity to extravagancy of the young man induces him to spend his,Portuguese
money for the satisfaction of women.,Portuguese
"ZAYA DYAMBU KUTUKA, KUZAYI DYAMBU KUKWENDA KO.",Portuguese
Sabe-se algo do local da procedência mas não do destino.,Portuguese
Sabe-se a situação do ponto de partida e não a do destino. «Sabemos o que,Portuguese
"somos, mas não o que podemos ser» (Prov.Judaico — Rosa Sha). «O futuro é uma",Portuguese
incógnita».,Portuguese
On sait la situation du point de départ mais pas celle du point d'arrivée.,Portuguese
"«Nous savons ce que nous sommes, mais pas ce que nous serons» (Prov. Juif —",Portuguese
Rosa Sha). «I'avenir est une inconnue».,Portuguese
One knows the situation of the starting point but not that of the arriving place.,Portuguese
"One knows the situation of where one comes from, but not that of where one",Portuguese
"goes to. «We know what we are, but not what we will be» (Jewish prov. - Rosa",Portuguese
Sha). «The future is unknown».,Portuguese
"ZAYANA KUKE, MONANA KULUTIDI YOVO: ZAYANA KAKUBADIDI KO,",Portuguese
"MONANA KUBADIDI, KADI NTETE MUZAYANA, MONANA KUVITANGA .",Portuguese
O prazer de se conhecer é menor do que o prazer de se encontrar.,Portuguese
"«O prazer de encontrar é maior do que a alegria de conhecer, pois o encontro",Portuguese
precede o conhecimento da coisa valiosa encontrada». A expressão «Eureka» que,Portuguese
"significa «encontrei», atribuída pela legenda ao físico-matemático Arquimedes,",Portuguese
foi o grito de alegria que sentiu quando descobriu a lei da gravidade específica dos,Portuguese
"corpos. Daí, Eureka exprime a alegria que se sente quando se encontra subita-",Portuguese
"mente uma grande ideia, um meio ou uma solução de um problema.",Portuguese
"Se connaitre est moins important que se rencontrer, car la rencontre précêde la",Portuguese
connaissance d'une chose ou de quelqu'un.,Portuguese
«Le plaisir de rencontrer est plus grande que la joie de comnaitre une chose qui,Portuguese
peut même être de grande valeur. A expressão «Eureka» qui signifie «j'ai,Portuguese
"trouvé», attribuée par la légende au physicien-mathématicien Archiméde, traduit",Portuguese
"la joie a qu'ill sentit lorsqu'il découvrit brusquement, en se baignant, la loi de la",Portuguese
pesanteur spécifique des corps.,Portuguese
The pleasure of meeting each other is greater than that of knowing a valuable,Portuguese
thing too.,Portuguese
"As a matter of fact, the pleasure of finding is greater than that of knowing some-",Portuguese
"thing, because without the former the latter cannot be known. «Eureka», which",Portuguese
means «I've found it» attribuited by the legend to the physiscist-mathematic,Portuguese
352,Portuguese
"Archimeds, expressing the great joy he felt when he discovered a way to deter-",Portuguese
mine the purity of gold by applying the principle of specific gravity; hence «Eure-,Portuguese
"ka» is any exclamation of triumphant achievement, equivalent to «I've got it»",Portuguese
