"lingua","proverbio","interpretacao"
"Kikongo","Afwidi mu vita ka ena lutangu ko, mun'atukidi ena ye lutangu lwau","Os que morreram na guerra são inumeráveis. Contudo, são conhecidos pelas suas familias pelos seus nomes e números. Assim, durante a guerra, as famílias conhecem e choram os seus entes queridos mortos pela pátria, enquanto o estado os regista pelos seus nomes e soma o seu número. — Cada estado deve honrar os seus filhos tombados no campo de batalha pela defesa do país e cada povo deve lembrar-se dos seus mártires."
"Kikongo","Akento anati à nkalu za maza ye mafunda ma mambu","As mulheres são portadoras das calabaças de água e dos embrulhos de bisbilhotices, isto é, as mulheres são mais boateiras do que os homens «Ser uma mulher e calar-se são duas coisas incompatíveis.» (Tirso de Molina)."
"Kikongo","«akento kumi ngin'au!»: ngeye mosi ukivunanga","«Tenho dez mulheres»: Tens dez? «Tu te enganas a ti mesmo.» Estas tantas mulheres não são realmente todas tuas, pois: «quem muito abarca pouco aperta.»"
"Kikongo","Akento nsambwadi anete nsengo nsambwadi ku nkoko atombokele ye ngandu nsambwadi, avo akala nsambwadi anete tanzi nsambwadi, wana simbi nsambwadi atomboka yau","Sete mulheres foram ao rio com sete enxadas e trouxeram sete crocodilos. Se sete homens forem ao mesmo rio com sete machados, trarão certamente sete sereias.  Este provérbio significa que «as grandes causas produzem grandes efeitos»."
"Kikongo","Aki nanzima, mbãlu antima anwaninanga ye mazunu ma nkele m'ankongo","As civetas dizem: «Lutamos contra as bocas de espingardas dos caçadores por causa da sua crueldade.» Refere-se a pessoas revoltadas que justificam a sua violência pela maldade excessiva dos seus inimigos."
"Kikongo","Akulu adya mbá (ngazi), atawule nkamfi","Os antepassados comeram as nozes da palmeira e deitaram os sobejos. Os antepassados cumpriram os seus deveres e transmitiram o facho às novas gerações. Agora é a vez destas de se mostrarem dignas da herança recebida."
"Kikongo","Akundi kakondi, akundi kasaki","«Não» à falta de amigos, e «não» a numerosos amigos. «Amigos: nem nenhum, nem muitos». «Ter muitos amigos é como não ter amigo algum com que contar»."
"Kikongo","Akwa ngangu ye ngangu kalendi tungila va kimosi ko","Dois intelectuais não podem conviver juntos, pois os seus talentos, em vez de uní-los, opônem-no. Como «dois galos não podem cantar na mesma capoeira» também «os grandes homens não podem aturar-se uns aos outros e quase não têm o espírito. É bom misturá-los com os pequenos.» (Anatole France)."
"Kikongo","Akwa nguba kangu nkatu, akwa kangu nguba nkatu","Os que têm amendoins não têm torradeira, os que têm torradeira não têm amendoins. «Deus dá nozes a quem não tem dentes.»"
"Kikongo","Akwenda malembe ata masakuba sungula ngeye uta kwend'e ntinu"," Os que vão devegar são susceptíveis de tropeçar, com maior razão tu que vais correndo!  «Devagar que tenho pressa», «Quem tem pressa de mais tropeça no fim» ,«A pressa é inimiga da perfeição»."
"Kikongo","Alambi ayingi madia ayivisanga","Muitos cozinheiros estragam a sopa. «Quando muitos homens envolvem-se num assunto, o resultado é uma confusão.» (L.& R. Flavel)."
"Kikongo","Alek'ayokanga ndungu akovolwesang'azitu","Os jovens que queimam jindungu (piri-piri) fazem tossir os sogros. «O mau comportamento dos jovens envenena as relações dos adultos.»"
